id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0006c719,body,914,467,1546,750,0006bc22,ハニエル,,62
0006c71a,face,1241,535,1440,711,0006bc22,ハニエル,,62
0006c71b,frame,1507,778,1573,1169,,,,62
0006c71c,face,1270,945,1359,993,0006bc22,ハニエル,,62
0006c71d,body,1023,332,1087,391,0006bd3b,クーラー,,62
0006c71e,face,933,341,994,403,0006bc1d,ルカ,,62
0006c71f,face,1200,1103,1266,1156,0006bc1d,ルカ,,62
0006c720,frame,832,465,1651,756,,,,62
0006c721,frame,892,753,1102,1169,,,,62
0006c722,body,1045,70,1215,440,0006bc22,ハニエル,,62
0006c723,body,1360,289,1478,346,0006be65,プリンタ,,62
0006c724,text,1469,859,1560,1027,,,"ルカ…
ありがと",62
0006c725,text,1182,799,1226,878,,,あなたになら…,62
0006c726,frame,1225,71,1494,448,,,,62
0006c727,frame,896,71,1216,444,,,,62
0006c728,frame,1520,1,1651,421,,,,62
0006c729,text,951,799,1031,915,,,いつか言えるかもしれないわ…,62
0006c72a,body,1410,366,1490,443,0006bd44,ヒーター,,62
0006c72b,body,1173,1058,1395,1165,0006bc1d,ルカ,,62
0006c72c,body,1221,884,1413,1141,0006bc22,ハニエル,,62
0006c72d,face,1239,287,1278,326,0006bfef,リリス,,62
0006c72e,frame,1101,754,1647,1167,,,,62
0006c72f,body,898,312,1020,441,0006bc1d,ルカ,,62
0006c730,body,1228,237,1290,350,0006bfef,リリス,,62
0006c731,body,1266,348,1406,443,0006bc29,ナビ,,62
