id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0006cb1e,text,274,654,306,725,へぇ…,,,80
0006cb1f,face,610,767,672,804,,0006caed,クロノス,80
0006cb20,frame,836,0,1278,424,,,,80
0006cb21,body,62,183,475,608,,0006bd3b,クーラー,80
0006cb22,frame,863,591,1100,1166,,,,80
0006cb23,text,452,70,502,199,突然出てきてナマイキよッ,,,80
0006cb24,face,247,71,378,168,,0006bd44,ヒーター,80
0006cb25,face,175,323,345,445,,0006bd3b,クーラー,80
0006cb26,frame,410,769,767,1117,,,,80
0006cb27,frame,6,3,829,628,,,,80
0006cb28,text,1092,636,1149,855,もらうつもりなんだけどね…！,,,80
0006cb29,body,432,765,766,1117,,0006caed,クロノス,80
0006cb2a,text,1320,98,1377,198,"はぁ！？
な何を…",,,80
0006cb2b,body,1174,424,1648,1164,,0006caed,クロノス,80
0006cb2c,body,78,878,169,1118,,0006bd44,ヒーター,80
0006cb2d,frame,836,292,1650,1167,,,,80
0006cb2e,frame,489,3,764,393,,,,80
0006cb2f,body,437,535,796,729,,0006caed,クロノス,80
0006cb30,body,1349,325,1399,393,,0006bc22,ハニエル,80
0006cb31,face,869,922,1021,1132,,0006bc1d,ルカ,80
0006cb32,text,1227,213,1298,317,ーまあどんな答えが返ってきても,,,80
0006cb33,text,421,339,483,418,僕たちが相手だっ,,,80
0006cb34,body,542,35,657,135,,0006bd3b,クーラー,80
0006cb35,face,88,959,149,1086,,0006bd44,ヒーター,80
0006cb36,body,1485,170,1580,387,,0006caed,クロノス,80
0006cb37,face,333,803,419,880,,0006bd3b,クーラー,80
0006cb38,text,1431,61,1560,183,悪魔の”力の源”を僕に譲ってくれないかい？,,,80
0006cb39,body,1352,219,1492,391,,0006bc1d,ルカ,80
0006cb3a,body,865,801,1084,1165,,0006bc1d,ルカ,80
0006cb3b,frame,1264,1,1328,401,,,,80
0006cb3c,body,477,429,575,558,,0006bc29,ナビ,80
0006cb3d,frame,1347,1,1584,394,,,,80
0006cb3e,frame,74,526,825,732,,,,80
0006cb3f,face,1352,361,1391,391,,0006bc22,ハニエル,80
0006cb40,body,840,7,1210,422,,0006caed,クロノス,80
0006cb41,body,189,3,462,225,,0006bd44,ヒーター,80
0006cb42,face,1520,217,1577,305,,0006caed,クロノス,80
0006cb43,text,880,643,1016,756,なんだこいつ危ねーっ！？,,,80
0006cb44,text,698,799,742,878,かわいいもんだね,,,80
0006cb45,body,311,767,422,882,,0006bd3b,クーラー,80
0006cb46,body,660,5,762,93,,0006bd44,ヒーター,80
0006cb47,text,705,131,758,211,こらーお前っっ,,,80
0006cb48,text,112,64,165,218,ルカ様にはさわらせないわっ,,,80
0006cb49,face,511,607,753,731,,0006caed,クロノス,80
0006cb4a,face,1356,271,1445,335,,0006bc1d,ルカ,80
0006cb4b,face,946,127,1167,303,,0006caed,クロノス,80
0006cb4c,face,1271,544,1404,666,,0006caed,クロノス,80
0006cb4d,frame,78,767,424,1119,,,,80
0006cb4e,body,543,201,649,386,,0006caed,クロノス,80
0006cb4f,body,279,929,401,1119,,0006caed,クロノス,80
