id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0006ce90,face,1394,434,1448,481,0006cdd6,寿司屋店長,,5
0006ce91,text,99,889,141,989,,,いかつい客が増えたなぁ,5
0006ce92,body,534,389,704,600,0006ccbb,修羅山徹夫,,5
0006ce93,text,900,385,941,519,,,ワシらがこの店を守らんとな,5
0006ce94,text,1513,395,1549,480,,,今月も赤字だなあ…,5
0006ce95,frame,1241,613,1566,856,,,,5
0006ce96,body,296,1024,347,1096,0006cd4f,Other,,5
0006ce97,body,1442,969,1553,1093,0006cdd6,寿司屋店長,,5
0006ce98,face,278,876,313,918,0006ccbb,修羅山徹夫,,5
0006ce99,frame,885,613,1209,854,,,,5
0006ce9a,face,1072,1006,1124,1054,0006ccbb,修羅山徹夫,,5
0006ce9b,body,926,987,1006,1090,0006cd4f,Other,,5
0006ce9c,text,902,132,940,267,,,会議で本社へ行ってるよ,5
0006ce9d,face,959,1003,1002,1061,0006cd4f,Other,,5
0006ce9e,text,721,400,758,534,,,ワイが考えた新作寿司を見てくれ！！,5
0006ce9f,frame,883,70,1207,119,,,,5
0006cea0,body,600,207,715,360,0006ccce,ヤス,,5
0006cea1,body,157,875,221,979,0006cd4f,Other,,5
0006cea2,body,449,200,628,358,0006ccbb,修羅山徹夫,,5
0006cea3,face,298,1037,342,1096,0006cd4f,Other,,5
0006cea4,face,108,1045,158,1092,0006cd4f,Other,,5
0006cea5,frame,443,623,770,855,,,,5
0006cea6,text,360,881,396,1085,,,エァガンからイクラが飛び出るサービスですわ！！,5
0006cea7,body,445,471,523,607,0006ccce,ヤス,,5
0006cea8,body,978,900,1025,963,0006cd4f,Other,,5
0006cea9,face,449,525,520,600,0006ccce,ヤス,,5
0006ceaa,body,1060,978,1149,1097,0006ccbb,修羅山徹夫,,5
0006ceab,frame,443,371,768,608,,,,5
0006ceac,face,1474,995,1509,1062,0006cdd6,寿司屋店長,,5
0006cead,face,631,237,687,287,0006ccce,ヤス,,5
0006ceae,face,302,761,378,850,0006cd4f,Other,,5
0006ceaf,face,528,970,574,1021,0006ccbb,修羅山徹夫,,5
0006ceb0,body,938,368,1149,600,0006ccbb,修羅山徹夫,,5
0006ceb1,face,97,779,160,851,0006cd4f,Other,,5
0006ceb2,face,941,232,1011,303,0006cd4f,Other,,5
0006ceb3,text,177,87,319,115,,,商売繁盛や！！,5
0006ceb4,frame,85,866,416,1103,,,,5
0006ceb5,text,465,885,503,1020,,,極道やった経験が生かされてるやろ,5
0006ceb6,text,565,136,623,202,,,すっかり寿司屋でんな！！,5
0006ceb7,text,720,640,757,731,,,”パンチパーマグロ”や！！,5
0006ceb8,text,463,141,499,256,,,おお！！ ヤスやないか！！,5
0006ceb9,frame,883,859,1208,1100,,,,5
0006ceba,frame,89,623,414,855,,,,5
0006cebb,frame,85,71,410,123,,,,5
0006cebc,frame,883,366,1208,602,,,,5
0006cebd,text,720,147,757,255,,,兄キ！！ 食べに来ましたで！！,5
0006cebe,body,1018,148,1181,334,0006ccbb,修羅山徹夫,,5
0006cebf,text,944,84,1149,105,,,店はワシが守るで！！,5
0006cec0,text,902,869,942,1080,,,どこかの組事務所みたいになってるんだけど,5
0006cec1,text,1262,381,1300,548,,,近くにできたライバル店のせいだな…,5
0006cec2,body,941,682,1013,836,0006cd4f,Other,,5
0006cec3,text,1260,128,1296,280,,,ヤツのせいでひどく疲れたな…,5
0006cec4,text,1313,84,1497,104,,,店長を励ますで！！,5
0006cec5,body,478,926,594,1097,0006ccbb,修羅山徹夫,,5
0006cec6,body,300,737,409,853,0006cd4f,Other,,5
0006cec7,text,376,387,391,522,,,”小指ソーセージ”,5
0006cec8,face,173,884,210,917,0006cd4f,Other,,5
0006cec9,text,1176,400,1192,535,,,店長がおらん間は,5
0006ceca,face,631,974,678,1020,0006ccce,ヤス,,5
0006cecb,text,1510,129,1551,212,,,今日も一日終わった…,5
0006cecc,frame,446,75,768,120,,,,5
0006cecd,text,1338,937,1433,1007,,,オリジナルな寿司を作って巻き返しましょうや！！,5
0006cece,body,84,1026,202,1097,0006cd4f,Other,,5
0006cecf,text,355,639,392,771,,,そしてオススメは”抗争イクラ”,5
0006ced0,body,895,196,1020,352,0006cd4f,Other,,5
0006ced1,body,185,630,307,835,0006ccbb,修羅山徹夫,,5
0006ced2,frame,1243,863,1570,1097,,,,5
0006ced3,body,244,873,332,993,0006ccbb,修羅山徹夫,,5
0006ced4,face,1343,880,1374,903,0006ccbb,修羅山徹夫,,5
0006ced5,frame,85,369,409,608,,,,5
0006ced6,text,1299,694,1401,729,,,ワイにまかせて下さい！！,5
0006ced7,text,103,140,141,309,,,極道が一度は目にする手錠を寿司で再現！！,5
0006ced8,text,1153,138,1190,274,,,今日は店長見かけへんけど？,5
0006ced9,text,720,891,756,1078,,,さすが兄キ！！ 見た事ない寿司でっせ！！,5
0006ceda,body,208,1026,275,1101,0006cd4f,Other,,5
0006cedb,face,240,662,296,709,0006ccbb,修羅山徹夫,,5
0006cedc,body,1318,860,1405,923,0006ccbb,修羅山徹夫,,5
0006cedd,text,538,88,674,107,,,新作寿司や！！,5
0006cede,frame,1241,368,1568,602,,,,5
0006cedf,frame,887,121,1209,353,,,,5
0006cee0,frame,445,866,770,1102,,,,5
0006cee1,body,1367,400,1483,557,0006cdd6,寿司屋店長,,5
0006cee2,text,101,385,143,593,,,極道のケジメをモチーフにした斬新寿司！！,5
0006cee3,frame,1243,119,1568,356,,,,5
0006cee4,face,609,418,664,462,0006ccbb,修羅山徹夫,,5
0006cee5,text,457,646,516,814,,,極道オヤジの定番を細かく砕いたマグロで再現した,5
0006cee6,face,478,256,571,340,0006ccbb,修羅山徹夫,,5
0006cee7,body,89,724,164,857,0006cd4f,Other,,5
0006cee8,text,1159,884,1197,1071,,,防犯カメラを２０台増やして入ロを狭くした,5
0006cee9,face,1059,178,1107,222,0006ccbb,修羅山徹夫,,5
0006ceea,frame,1246,70,1570,122,,,,5
0006ceeb,text,1255,913,1292,1082,,,コメントするのに寿司レーンを使うな！！,5
0006ceec,face,950,443,1149,597,0006ccbb,修羅山徹夫,,5
0006ceed,body,1409,709,1538,850,0006cdd6,寿司屋店長,,5
0006ceee,body,587,940,707,1074,0006ccce,ヤス,,5
0006ceef,frame,445,123,769,360,,,,5
0006cef0,text,376,142,390,242,,,”ワッバ巻き”,5
0006cef1,frame,87,123,411,359,,,,5
