id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0006d5a7,text,1312,85,1497,107,ファミレスの徹,,,22
0006d5a8,frame,1242,371,1562,605,,,,22
0006d5a9,text,896,644,931,768,ヤス！！ 出てきてええで,,,22
0006d5aa,frame,1239,73,1565,119,,,,22
0006d5ab,text,977,78,1110,110,居残りや！！,,,22
0006d5ac,text,99,140,134,256,呼び出すベルはどこだろう,,,22
0006d5ad,text,722,874,757,1015,この部屋ボクが作ったんです,,,22
0006d5ae,body,446,726,527,845,,0006d5af,レストラン客男,22
0006d5b0,text,725,128,757,256,あっ！！ ファミレスできたんだ,,,22
0006d5b1,body,701,290,750,353,,0006d5b2,レストラン客女,22
0006d5b3,text,715,646,754,751,入店一番目のお客様なので,,,22
0006d5b4,face,1418,187,1463,246,,0006d55e,レストラン店長,22
0006d5b5,frame,1239,619,1565,853,,,,22
0006d5b6,text,482,75,725,104,極道レストランや！！,,,22
0006d5b7,body,1252,943,1376,1092,,0006d55e,レストラン店長,22
0006d5b8,body,84,175,221,347,,0006d5b2,レストラン客女,22
0006d5b9,body,513,656,684,845,,0006ccbb,修羅山徹夫,22
0006d5ba,face,700,303,730,341,,0006d5b2,レストラン客女,22
0006d5bb,frame,448,858,770,1090,,,,22
0006d5bc,frame,445,113,771,352,,,,22
0006d5bd,text,1517,884,1552,1072,５回失敗すると私が小指を切って落とし前をつけやす,,,22
0006d5be,frame,85,856,409,1092,,,,22
0006d5bf,frame,1245,865,1562,1093,,,,22
0006d5c0,body,1397,400,1501,547,,0006d55e,レストラン店長,22
0006d5c1,face,1428,434,1483,491,,0006d55e,レストラン店長,22
0006d5c2,body,85,721,197,845,,0006d5b2,レストラン客女,22
0006d5c3,face,1062,971,1133,1028,,0006ccbb,修羅山徹夫,22
0006d5c4,body,1313,476,1376,599,,0006ccbb,修羅山徹夫,22
0006d5c5,body,1371,906,1506,1090,,0006ccbb,修羅山徹夫,22
0006d5c6,body,667,899,700,958,,0006ccbb,修羅山徹夫,22
0006d5c7,text,1255,394,1292,578,お客様にクレームをつけられた時の対応は！？,,,22
0006d5c8,face,615,433,668,485,,0006d5af,レストラン客男,22
0006d5c9,face,443,762,525,844,,0006d5af,レストラン客男,22
0006d5ca,face,693,437,752,485,,0006d5b2,レストラン客女,22
0006d5cb,face,1290,998,1368,1081,,0006d55e,レストラン店長,22
0006d5cc,body,243,659,378,843,,0006d5af,レストラン客男,22
0006d5cd,frame,446,612,768,845,,,,22
0006d5ce,face,302,678,356,738,,0006d5af,レストラン客男,22
0006d5cf,face,154,212,211,280,,0006d5b2,レストラン客女,22
0006d5d0,text,361,137,397,286,なんか落ち鶏かないなあ,,,22
0006d5d1,face,667,972,694,999,,0006d5b2,レストラン客女,22
0006d5d2,frame,1239,125,1562,356,,,,22
0006d5d3,body,666,961,712,1087,,0006d5b2,レストラン客女,22
0006d5d4,text,465,141,479,245,ここにする？,,,22
0006d5d5,body,1079,675,1188,846,,0006ccbb,修羅山徹夫,22
0006d5d6,text,355,883,398,1026,お客さーん！！ 戦争でっかーっ！！,,,22
0006d5d7,frame,880,863,1204,1091,,,,22
0006d5d8,face,536,952,567,991,,0006d5af,レストラン客男,22
0006d5d9,text,1153,400,1192,489,それじゃあ明日,,,22
0006d5da,text,134,75,353,107,呼び出してくれ！！,,,22
0006d5db,face,271,179,325,228,,0006d5af,レストラン客男,22
0006d5dc,frame,877,367,1201,603,,,,22
0006d5dd,face,122,748,193,827,,0006d5b2,レストラン客女,22
0006d5de,face,500,498,573,593,,0006ccbb,修羅山徹夫,22
0006d5df,text,376,382,394,487,これらしいよ,,,22
0006d5e0,text,1156,900,1192,984,今まで計画しとった,,,22
0006d5e1,face,978,923,1003,955,,0006ccce,ヤス,22
0006d5e2,body,1012,920,1187,1087,,0006ccbb,修羅山徹夫,22
0006d5e3,face,1074,174,1108,212,,0006d55e,レストラン店長,22
0006d5e4,body,1049,154,1145,353,,0006d55e,レストラン店長,22
0006d5e5,frame,877,617,1205,850,,,,22
0006d5e6,face,1324,185,1377,229,,0006ccbb,修羅山徹夫,22
0006d5e7,frame,446,68,769,116,,,,22
0006d5e8,body,587,406,697,598,,0006d5af,レストラン客男,22
0006d5e9,face,672,911,694,938,,0006ccbb,修羅山徹夫,22
0006d5ea,text,1515,138,1551,338,レストランは明日オープンなんだぞ！！,,,22
