id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0006e0f1,frame,74,234,745,375,,,29
0006e0f2,frame,77,383,747,520,,,29
0006e0f3,frame,1353,377,1573,697,,,29
0006e0f4,frame,898,710,1572,1082,,,29
0006e0f5,frame,74,78,749,224,,,29
0006e0f6,frame,896,83,1576,363,,,29
0006e0f7,frame,317,529,748,685,,,29
0006e0f8,frame,76,528,381,684,,,29
0006e0f9,frame,73,698,743,1082,,,29
0006e0fa,body,355,530,747,688,0006dd1f,極楽院 和泉子,29
0006e0fb,face,465,542,583,647,0006dd1f,極楽院 和泉子,29
0006e0fc,body,1405,929,1573,1078,0006dd1f,極楽院 和泉子,29
0006e0fd,frame,896,376,1380,699,,,29
