id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0006ecff,body,538,378,751,585,0006dd1f,極楽院 和泉子,,110
0006ed00,text,154,89,311,150,,,あの髪の長いおねーちゃんなんて名前？,110
0006ed01,body,465,81,723,305,0006ead9,嵯峨,,110
0006ed02,frame,538,322,753,587,,,,110
0006ed03,body,326,132,463,307,0006dd1f,極楽院 和泉子,,110
0006ed04,face,233,934,349,1033,0006dd1f,極楽院 和泉子,,110
0006ed05,body,79,893,433,1056,0006dd1f,極楽院 和泉子,,110
0006ed06,text,722,94,740,135,,,ねえ,110
0006ed07,face,602,185,684,266,0006ead9,嵯峨,,110
0006ed08,face,387,212,459,280,0006dd1f,極楽院 和泉子,,110
0006ed09,body,480,909,556,973,0006ead9,嵯峨,,110
0006ed0a,frame,827,0,1648,567,,,,110
0006ed0b,text,1260,110,1348,218,,,あらーまた極楽院さんのとこですわ,110
0006ed0c,text,709,349,746,420,,,ゆーこのこと？,110
0006ed0d,text,1477,94,1518,202,,,奥様―あれ何ですの,110
0006ed0e,text,911,97,999,223,,,ホーントでも夜やってくれればいい花火なのに,110
0006ed0f,text,119,325,197,561,,,きわどいとこね―セックスできんの？,110
0006ed10,frame,892,644,1191,1084,,,,110
0006ed11,text,1213,262,1274,351,,,まーいつもにぎやかで,110
0006ed12,frame,81,322,385,584,,,,110
0006ed13,text,397,913,426,958,,,ハ！,110
0006ed14,face,600,459,706,550,0006dd1f,極楽院 和泉子,,110
0006ed15,face,444,463,521,546,0006ead9,嵯峨,,110
0006ed16,text,1239,649,1353,783,,,とゆーわけで独自の教育方針で知られる呆建学園は……,110
0006ed17,face,261,231,302,275,0006ead9,嵯峨,,110
0006ed18,face,200,471,299,568,0006dd1f,極楽院 和泉子,,110
0006ed19,body,413,382,532,585,0006ead9,嵯峨,,110
0006ed1a,frame,82,86,459,308,,,,110
0006ed1b,text,425,76,445,139,,,ン―,110
0006ed1c,body,213,193,320,304,0006ead9,嵯峨,,110
0006ed1d,frame,0,602,821,1168,,,,110
0006ed1e,text,620,640,721,751,,,関係ないよ待てばいーんだ,110
0006ed1f,text,1059,642,1170,794,,,莫大な借金と教師に多数の死傷者を出し事実上崩壊しましたーっと,110
0006ed20,text,416,322,436,495,,,いーじゃないか―,110
0006ed21,text,929,304,970,412,,,もったいないですわー,110
0006ed22,text,562,332,626,423,,,名前きいてどーすんの？,110
0006ed23,frame,1196,640,1573,1083,,,,110
0006ed24,frame,468,85,752,307,,,,110
0006ed25,body,139,346,389,586,0006dd1f,極楽院 和泉子,,110
0006ed26,frame,397,322,532,586,,,,110
0006ed27,body,591,922,659,1035,0006dd1f,極楽院 和泉子,,110
0006ed28,text,914,739,982,855,,,次のニュースはですねえ……,110
0006ed29,text,299,334,386,407,,,だいたいあんたまだ１１でしょ？,110
