id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0006ed3c,frame,406,85,752,361,,,,112
0006ed3d,text,102,861,274,1022,ありがとーございますっあなたは命の恩人ですっつ‼,,,112
0006ed3e,face,154,666,230,730,,0006ed3f,ぷりんせす・ゆーこ,112
0006ed40,face,229,472,288,532,,0006dd1f,極楽院 和泉子,112
0006ed41,frame,81,85,455,361,,,,112
0006ed42,body,258,632,342,834,,0006dd1f,極楽院 和泉子,112
0006ed43,text,977,97,1059,375,総員戦闘準備！配置つけーっ‼,,,112
0006ed44,face,1188,221,1339,328,,0006dd1f,極楽院 和泉子,112
0006ed45,frame,888,430,1244,598,,,,112
0006ed46,text,661,432,709,538,戦利品はこれだけか,,,112
0006ed47,frame,82,417,339,615,,,,112
0006ed48,text,1463,443,1545,538,撃て―沈め―はよせー,,,112
0006ed49,body,233,868,494,1080,,0006ed3f,ぷりんせす・ゆーこ,112
0006ed4a,body,173,420,338,619,,0006dd1f,極楽院 和泉子,112
0006ed4b,body,82,637,254,814,,0006ed3f,ぷりんせす・ゆーこ,112
0006ed4c,frame,343,417,756,834,,,,112
0006ed4d,face,480,890,567,981,,0006dd1f,極楽院 和泉子,112
0006ed4e,frame,83,631,340,831,,,,112
0006ed4f,face,385,931,457,988,,0006ed3f,ぷりんせす・ゆーこ,112
0006ed50,frame,890,783,1558,1086,,,,112
0006ed51,body,1094,69,1430,414,,0006dd1f,極楽院 和泉子,112
0006ed52,text,93,447,177,538,あまり上等そーなツボじゃないな,,,112
0006ed53,body,408,799,660,1082,,0006dd1f,極楽院 和泉子,112
0006ed54,body,343,562,415,819,,0006ed38,バトラー,112
0006ed55,frame,888,86,1562,418,,,,112
0006ed56,text,357,435,420,526,海上に浮かんどりました,,,112
0006ed57,text,1462,108,1545,288,獲物発見！２時方向！,,,112
0006ed58,frame,1250,433,1559,770,,,,112
0006ed59,frame,82,847,754,1085,,,,112
0006ed5a,body,79,85,367,361,,0006dd1f,極楽院 和泉子,112
0006ed5b,face,359,594,404,662,,0006ed38,バトラー,112
0006ed5c,text,359,104,380,190,上出来！,,,112
0006ed5d,frame,888,613,1242,769,,,,112
0006ed5e,text,656,988,723,1047,なんだなんだなんだ,,,112
0006ed5f,body,507,420,639,643,,0006dd1f,極楽院 和泉子,112
