id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0006f0ee,body,478,657,557,754,0006f0ef,クラスメイト,,9
0006f0f0,face,597,327,636,363,0006f0ef,クラスメイト,,9
0006f0f1,face,485,672,545,724,0006f0ef,クラスメイト,,9
0006f0f2,frame,893,660,1014,1103,,,,9
0006f0f3,text,636,135,700,232,,,"相変わらずモテるわねー
神田先生",9
0006f0f4,text,369,416,389,473,,,あれっ,9
0006f0f5,face,678,314,738,366,0006f0ef,クラスメイト,,9
0006f0f6,face,1299,177,1344,223,0006f087,神田先生,,9
0006f0f7,face,423,705,462,744,0006f0ef,クラスメイト,,9
0006f0f8,text,92,164,134,230,,,タメ息なんてついちゃって,9
0006f0f9,text,1025,957,1093,1070,,,質問があったらあとで職員室へ来なさい,9
0006f0fa,face,982,320,1027,399,0006efe4,フンコ,,9
0006f0fb,frame,1027,103,1259,486,,,,9
0006f0fc,text,275,595,342,645,,,どき,9
0006f0fd,text,1221,690,1261,803,,,"では
今日はここまで",9
0006f0fe,face,1060,103,1191,267,0006ef8e,真子,,9
0006f0ff,frame,1027,664,1277,1101,,,,9
0006f100,frame,897,494,1250,653,,,,9
0006f101,body,97,177,235,553,0006ef8e,真子,,9
0006f102,body,1027,103,1240,479,0006ef8e,真子,,9
0006f103,face,148,240,228,407,0006ef8e,真子,,9
0006f104,face,354,89,494,241,0006ef8e,真子,,9
0006f105,body,335,53,670,554,0006ef8e,真子,,9
0006f106,body,247,647,340,758,0006ef8e,真子,,9
0006f107,text,120,582,133,632,,,え・・・,9
0006f108,frame,90,43,232,550,,,,9
0006f109,body,240,184,344,427,0006efe4,フンコ,,9
0006f10a,body,901,303,966,409,0006f087,神田先生,,9
0006f10b,face,1088,711,1198,856,0006f087,神田先生,,9
0006f10c,text,900,912,1000,1091,,,きゃ～っ,9
0006f10d,face,262,229,321,295,0006efe4,フンコ,,9
0006f10e,face,525,348,558,387,0006f0ef,クラスメイト,,9
0006f10f,body,83,767,711,1169,0006efe4,フンコ,,9
0006f110,body,914,517,1126,661,0006f087,神田先生,,9
0006f111,frame,343,40,750,545,,,,9
0006f112,text,564,609,605,689,,,神田先生のタイプ,9
0006f113,frame,1291,2,1601,1169,,,,9
0006f114,frame,1263,0,1383,556,,,,9
0006f115,face,129,626,216,737,0006efe4,フンコ,,9
0006f116,body,1051,672,1277,1096,0006f087,神田先生,,9
0006f117,body,89,381,145,512,0006efe4,フンコ,,9
0006f118,text,635,813,650,865,,,そうね,9
0006f119,body,472,331,569,449,0006f0ef,クラスメイト,,9
0006f11a,text,126,905,211,1040,,,"うふん♡
抱かれてもいいわね",9
0006f11b,frame,89,557,749,761,,,,9
0006f11c,text,914,529,940,555,,,ん,9
0006f11d,body,1265,161,1378,398,0006f087,神田先生,,9
0006f11e,face,266,790,551,1027,0006efe4,フンコ,,9
0006f11f,frame,88,767,751,1166,,,,9
0006f120,text,534,218,614,322,,,"なんたって美形だもん
よいわーっ",9
0006f121,face,975,536,1040,603,0006f087,神田先生,,9
0006f122,text,164,115,198,232,,,フンコはどうしたのかな,9
0006f123,body,658,298,776,503,0006f0ef,クラスメイト,,9
0006f124,face,267,665,319,711,0006ef8e,真子,,9
0006f125,text,1094,490,1292,616,,,ジリリリリ♪,9
0006f126,body,393,694,472,754,0006f0ef,クラスメイト,,9
0006f127,frame,895,109,1060,487,,,,9
0006f128,body,586,313,655,471,0006f0ef,クラスメイト,,9
0006f129,text,658,578,722,697,,,"ねー
フンコなんか好みじゃない？",9
0006f12a,text,399,586,431,673,,,どーなのよ,9
0006f12b,frame,238,0,332,515,,,,9
0006f12c,body,90,556,262,755,0006efe4,フンコ,,9
0006f12d,text,911,667,987,856,,,"きゃーっ
先生！",9
0006f12e,body,955,293,1055,479,0006efe4,フンコ,,9
