id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0006f9de,text,1129,737,1328,901,"真子たちを見てるとなんだか勇気が出てきたのよね
よしっ
あたしもガンバるぞって",,,44
0006f9df,text,516,625,552,734,ほんとにがんばって！,,,44
0006f9e0,face,1000,182,1073,255,,0006efe4,フンコ,44
0006f9e1,text,913,251,1009,367,"おおっ
よくぞ聞いてくださった♡",,,44
0006f9e2,frame,903,711,1147,1100,,,,44
0006f9e3,body,1198,869,1343,1085,,0006efe4,フンコ,44
0006f9e4,frame,368,319,465,783,,,,44
0006f9e5,text,1357,935,1401,995,"こっ
声が大きい声が",,,44
0006f9e6,text,139,108,237,229,"うふふ♡
フンコってば勇気りんりんね",,,44
0006f9e7,face,440,117,585,289,,0006efe4,フンコ,44
0006f9e8,body,393,932,789,1169,,0006ef8e,真子,44
0006f9e9,frame,1258,104,1416,402,,,,44
0006f9ea,body,525,477,765,780,,0006ef8e,真子,44
0006f9eb,text,627,957,646,996,きゅん,,,44
0006f9ec,face,1420,208,1490,326,,0006ef8e,真子,44
0006f9ed,frame,1351,705,1570,1094,,,,44
0006f9ee,text,1091,994,1105,1041,フンコ,,,44
0006f9ef,body,89,784,533,1169,,0006f01b,里美,44
0006f9f0,body,195,161,335,299,,0006ef8e,真子,44
0006f9f1,text,1535,114,1553,177,どう？,,,44
0006f9f2,text,387,361,456,493,神田先生に気持ちが通じるといいわね,,,44
0006f9f3,body,1396,949,1475,1094,,0006efe4,フンコ,44
0006f9f4,frame,470,320,767,465,,,,44
0006f9f5,body,1423,195,1514,407,,0006ef8e,真子,44
0006f9f6,body,1119,274,1246,405,,0006ef8e,真子,44
0006f9f7,body,1456,949,1529,1092,,0006ef8e,真子,44
0006f9f8,body,1481,222,1572,400,,0006efe4,フンコ,44
0006f9f9,text,576,342,594,389,フンコ,,,44
0006f9fa,body,881,706,1251,1142,,0006ef8e,真子,44
0006f9fb,text,1450,110,1478,202,どうって・・・,,,44
0006f9fc,face,1139,439,1358,637,,0006efe4,フンコ,44
0006f9fd,body,379,509,466,694,,0006efe4,フンコ,44
0006f9fe,text,668,841,729,939,"もう少しで
目標達成できそうです",,,44
0006f9ff,text,564,111,746,270,"あんたとあたしと姉妹になったりしてね♡
なーんて
まだ気が早いか・・・",,,44
0006fa00,frame,863,440,1608,683,,,,44
0006fa01,face,194,876,393,1061,,0006f01b,里美,44
0006fa02,frame,903,97,1246,401,,,,44
0006fa03,face,1297,116,1403,247,,0006ef8e,真子,44
0006fa04,face,388,535,440,605,,0006efe4,フンコ,44
0006fa05,body,921,143,1206,400,,0006efe4,フンコ,44
0006fa06,frame,1429,99,1567,403,,,,44
0006fa07,text,1293,280,1392,360,"どうにかなりそうよ
なんちゃってね",,,44
0006fa08,body,281,92,750,308,,0006efe4,フンコ,44
0006fa09,face,564,483,756,686,,0006ef8e,真子,44
0006fa0a,face,122,576,175,629,,0006ef8e,真子,44
0006fa0b,face,228,182,307,262,,0006ef8e,真子,44
0006fa0c,body,505,344,570,457,,0006efe4,フンコ,44
0006fa0d,body,1299,927,1352,1092,,0006ef8e,真子,44
0006fa0e,body,97,543,201,728,,0006ef8e,真子,44
0006fa0f,text,1512,474,1525,522,あたし,,,44
0006fa10,text,954,558,1005,639,神田先生に告白するわ,,,44
0006fa11,body,1277,101,1409,404,,0006ef8e,真子,44
0006fa12,frame,1161,703,1348,1098,,,,44
0006fa13,text,139,372,160,441,あたしも,,,44
0006fa14,face,927,723,1125,942,,0006ef8e,真子,44
0006fa15,frame,99,330,205,726,,,,44
0006fa16,text,738,328,752,423,グッド・ラック♡,,,44
0006fa17,frame,103,94,762,305,,,,44
0006fa18,text,494,837,529,901,"そりゃあ
あなた♡",,,44
0006fa19,face,1501,247,1560,306,,0006efe4,フンコ,44
0006fa1a,text,1120,115,1234,236,"フンコはどうなの？
神田先生のこと",,,44
0006fa1b,body,262,399,361,683,,0006f01b,里美,44
0006fa1c,frame,93,789,796,1169,,,,44
0006fa1d,body,579,321,744,459,,0006ef8e,真子,44
0006fa1e,face,446,988,591,1133,,0006ef8e,真子,44
0006fa1f,body,1027,432,1484,689,,0006efe4,フンコ,44
0006fa20,text,591,839,607,935,なにがって？,,,44
0006fa21,frame,471,481,766,785,,,,44
0006fa22,frame,208,320,394,781,,,,44
0006fa23,text,1463,710,1563,938,"きゃー
ほんと？
いつ？",,,44
