id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00070c5c,body,720,552,801,760,00070413,Other,49
00070c5d,frame,0,0,466,547,,,49
00070c5e,body,897,113,1653,927,0007040f,押足藤太,49
00070c5f,frame,379,0,801,477,,,49
00070c60,face,44,73,338,404,0007040f,押足藤太,49
00070c61,face,637,642,693,712,00070413,Other,49
00070c62,body,623,607,700,727,00070413,Other,49
00070c63,face,749,599,798,701,00070413,Other,49
00070c64,frame,405,454,801,795,,,49
00070c65,face,488,507,576,641,00070413,Other,49
00070c66,face,1021,249,1198,387,0007040f,押足藤太,49
00070c67,body,413,0,797,477,00070413,Other,49
00070c68,body,832,331,1653,1167,00070413,Other,49
00070c69,body,3,511,448,775,00070466,赤坂主将,49
00070c6a,body,411,485,645,795,00070413,Other,49
00070c6b,body,0,0,470,510,0007040f,押足藤太,49
00070c6c,frame,851,0,1653,1167,,,49
00070c6d,body,114,692,821,1159,00070413,Other,49
00070c6e,face,953,885,1120,1032,00070413,Other,49
00070c6f,face,427,112,686,428,00070413,Other,49
00070c70,face,135,568,270,726,00070466,赤坂主将,49
00070c71,face,129,826,224,942,00070413,Other,49
00070c72,frame,1,510,445,777,,,49
00070c73,frame,0,754,807,1168,,,49
