id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00070f48,body,257,808,368,1169,0007040f,押足藤太,,63
00070f49,body,588,801,722,1169,00070432,土方伊織,,63
00070f4a,body,935,813,1218,1169,00070466,赤坂主将,,63
00070f4b,text,1209,77,1240,282,,,グフフッグフフフフ～～ッ。,63
00070f4c,frame,932,774,1266,1166,,,,63
00070f4d,face,361,135,451,222,0007040f,押足藤太,,63
00070f4e,text,1011,426,1099,581,,,ハハハッハハハハハハハハハーーッ。,63
00070f4f,text,1369,239,1388,305,,,グフッ。,63
00070f50,face,280,847,318,892,0007040f,押足藤太,,63
00070f51,text,1396,419,1565,569,,,ついに藤太が剣道部に入部してくるんだ。待ったかいがあった。あいつとまた剣道ができる！！,63
00070f52,frame,1261,0,1653,381,,,,63
00070f53,body,398,729,606,1169,0007040f,押足藤太,,63
00070f54,text,211,637,377,802,,,おお藤太待ってたぞ。あとキミは土方伊織さんだったね、キミも剣道部に入ってくれるんだよね。ありがとう。,63
00070f55,frame,928,0,1254,384,,,,63
00070f56,face,962,147,1050,301,00070466,赤坂主将,,63
00070f57,body,53,904,391,1164,00070466,赤坂主将,,63
00070f58,body,68,774,184,1169,00070432,土方伊織,,63
00070f59,text,1102,788,1264,958,,,めでたい！これでウチの剣道部が日本一になることは確定したわけだし、何よりも藤太の剣がまた見られる。,63
00070f5a,frame,1275,766,1653,1167,,,,63
00070f5b,face,1005,872,1064,944,00070466,赤坂主将,,63
00070f5c,body,1203,573,1318,733,00070466,赤坂主将,,63
00070f5d,text,412,634,447,745,,,へへーこんちゃっス。,63
00070f5e,frame,930,397,1653,750,,,,63
00070f5f,face,611,851,673,910,00070432,土方伊織,,63
00070f60,text,85,634,127,748,,,よろしくお願いします。,63
00070f61,face,574,679,650,756,00070466,赤坂主将,,63
00070f62,body,239,51,581,621,0007040f,押足藤太,,63
00070f63,text,491,94,708,267,,,かつてのあいつーーすばらしい足さばき閃光のような剣、どれをとっても一分のスキもない剣だった。実に美しい剣だった！！,63
00070f64,face,130,818,164,854,00070432,土方伊織,,63
00070f65,body,963,55,1228,385,00070466,赤坂主将,,63
00070f66,body,577,620,744,798,00070466,赤坂主将,,63
00070f67,text,675,616,724,698,,,ガラッ,63
00070f68,frame,401,623,724,1169,,,,63
00070f69,frame,572,613,830,797,,,,63
00070f6a,text,150,114,236,327,,,あの現代剣道のお手本とも言うべき剣がまた甦ったんだ！！,63
00070f6b,frame,0,626,390,1166,,,,63
00070f6c,face,468,796,537,883,0007040f,押足藤太,,63
00070f6d,frame,0,0,727,604,,,,63
