id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000712b6,frame,928,0,1261,436,,,,83
000712b7,text,543,535,584,646,パンツ丸出しで寝てるとは･･･,,,83
000712b8,body,533,518,725,730,,0007040f,押足藤太,83
000712b9,body,477,135,651,338,,0007040f,押足藤太,83
000712ba,body,1302,34,1653,437,,00070432,土方伊織,83
000712bb,face,1007,104,1166,264,,0007040f,押足藤太,83
000712bc,body,948,11,1262,434,,0007040f,押足藤太,83
000712bd,frame,1270,0,1653,441,,,,83
000712be,frame,0,0,722,494,,,,83
000712bf,frame,0,516,726,732,,,,83
000712c0,frame,928,459,1653,1166,,,,83
000712c1,face,1343,90,1433,174,,00070432,土方伊織,83
000712c2,body,926,230,1653,1166,,00070432,土方伊織,83
000712c3,body,451,274,718,476,,00070432,土方伊織,83
000712c4,face,565,162,613,207,,0007040f,押足藤太,83
000712c5,text,447,630,525,722,い･･･伊織はしたないぞヘソまで出し････････････,,,83
000712c6,text,487,110,526,200,こ･･････これは･･･！！,,,83
000712c7,text,1228,101,1243,145,あ･･･,,,83
000712c8,body,395,750,723,1169,,00070432,土方伊織,83
000712c9,face,1078,328,1211,462,,00070432,土方伊織,83
000712ca,frame,396,746,724,1167,,,,83
000712cb,face,638,582,722,708,,0007040f,押足藤太,83
000712cc,face,411,763,662,1016,,00070432,土方伊織,83
000712cd,frame,0,750,392,1167,,,,83
000712ce,body,0,0,559,1169,,00070432,土方伊織,83
