id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00072a30,frame,885,388,1234,759,,,,87
00072a31,body,84,72,215,292,00072a32,文青友人A,,87
00072a33,text,911,405,1020,478,,,誰にも会いたくないと言ったでしょう,87
00072a34,body,194,7,359,294,00072a35,文青友人B,,87
00072a36,text,1522,405,1540,459,,,文青や,87
00072a37,body,361,127,448,294,00072a38,文青母,,87
00072a39,face,1157,213,1208,275,00072a32,文青友人A,,87
00072a3a,face,380,169,419,207,00072a38,文青母,,87
00072a3b,text,1264,622,1330,695,,,安さんと伊さんが見えたよ,87
00072a3c,body,1060,814,1158,1093,00072a38,文青母,,87
00072a3d,body,592,182,690,294,00072a35,文青友人B,,87
00072a3e,body,1262,867,1458,1099,00072a0f,文青,,87
00072a3f,body,384,312,766,641,00072a2f,死んだ男,,87
00072a40,body,1477,169,1570,262,00071736,Other,,87
00072a41,frame,82,314,768,642,,,,87
00072a42,frame,888,779,1167,1097,,,,87
00072a43,body,1294,144,1444,364,00071736,Other,,87
00072a44,face,1479,188,1505,229,00071736,Other,,87
00072a45,body,1389,473,1514,762,00072a38,文青母,,87
00072a46,frame,1243,388,1566,759,,,,87
00072a47,frame,458,0,768,293,,,,87
00072a48,text,1498,276,1539,349,,,ぶっそうじゃのう,87
00072a49,frame,1179,776,1567,1095,,,,87
00072a4a,body,1081,171,1254,365,00072a32,文青友人A,,87
00072a4b,body,946,165,1124,364,00072a35,文青友人B,,87
00072a4c,face,1435,854,1467,892,00072a38,文青母,,87
00072a4d,body,179,403,274,551,00072a32,文青友人A,,87
00072a4e,face,525,732,570,779,00071736,Other,,87
00072a4f,body,887,875,1136,1097,00072a0f,文青,,87
00072a50,text,679,681,750,746,,,なに！？,87
00072a51,text,1220,68,1307,199,,,王二が怪物に追っかけられて寝込んじまったってよ！,87
00072a52,face,1439,148,1473,189,00071736,Other,,87
00072a53,body,118,740,386,934,00072a1b,文青父,,87
00072a54,text,1051,804,1072,835,,,・・・・・・・・,87
00072a55,face,112,102,171,166,00072a32,文青友人A,,87
00072a56,body,255,388,342,625,00072a35,文青友人B,,87
00072a57,text,413,956,525,1089,,,高家が文青との婚約延期を申し入れてきたと！？,87
00072a58,text,740,171,755,287,,,そうですか・・・・,87
00072a59,face,1374,169,1400,207,00071736,Other,,87
00072a5a,frame,82,0,449,293,,,,87
00072a5b,face,194,47,260,125,00072a35,文青友人B,,87
00072a5c,body,1007,471,1193,758,00072a0f,文青,,87
00072a5d,frame,397,660,768,1100,,,,87
00072a5e,text,1468,794,1556,885,,,心配してお見舞いにいらしたんだよ,87
00072a5f,text,472,16,588,109,,,いや文青君の気持ちはよくわかります,87
00072a60,body,1389,827,1505,1097,00072a38,文青母,,87
00072a61,face,257,407,277,446,00072a35,文青友人B,,87
00072a62,face,213,810,292,882,00072a1b,文青父,,87
00072a63,face,653,79,691,111,00072a38,文青母,,87
00072a64,face,194,420,222,458,00072a32,文青友人A,,87
00072a65,face,929,983,1029,1053,00072a0f,文青,,87
00072a66,body,573,780,767,1101,00072a1b,文青父,,87
00072a67,body,1401,125,1499,364,00071736,Other,,87
00072a68,frame,885,68,1571,366,,,,87
00072a69,text,113,673,370,822,,,・・・・・・・・文青が神童と騒がれていた時は是非とも娘を貰ってくれとうるさかったのに何と不人情な・・・・,87
00072a6a,frame,82,660,384,936,,,,87
00072a6b,text,1189,775,1359,1035,,,彼らは試験に受かったんだ惨めな姿を友達にさらせというんですか！？,87
00072a6c,frame,82,953,384,1095,,,,87
00072a6d,body,422,696,602,926,00071736,Other,,87
00072a6e,body,624,30,751,294,00072a38,文青母,,87
00072a6f,face,1001,207,1069,275,00072a35,文青友人B,,87
00072a70,body,495,148,607,294,00072a32,文青友人A,,87
