id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00072dc6,text,461,369,517,485,よ・・よし・・・・さあ脳天をカチ割って・・・・,,,104
00072dc7,body,1064,405,1313,745,,00072c45,田氏,104
00072dc8,frame,553,807,764,1096,,,,104
00072dc9,face,367,547,452,625,,00072c3b,荘子,104
00072dca,frame,77,72,465,344,,,,104
00072dcb,body,892,840,1291,1096,,00072c45,田氏,104
00072dcc,frame,894,392,1386,862,,,,104
00072dcd,face,1189,452,1232,488,,00072c45,田氏,104
00072dce,body,325,538,475,724,,00072c3b,荘子,104
00072dcf,frame,1395,392,1576,1100,,,,104
00072dd0,frame,475,72,764,344,,,,104
00072dd1,text,935,519,1026,592,あなた怨んだりしちゃイヤよ,,,104
00072dd2,frame,894,72,1308,374,,,,104
00072dd3,face,563,886,745,1057,,00072c45,田氏,104
00072dd4,body,550,808,766,1097,,00072c45,田氏,104
00072dd5,frame,1321,72,1575,374,,,,104
00072dd6,face,1138,951,1250,1059,,00072c45,田氏,104
00072dd7,body,921,72,1269,370,,00072c45,田氏,104
00072dd8,body,567,388,764,789,,00072c45,田氏,104
00072dd9,frame,77,742,539,1096,,,,104
00072dda,body,78,481,272,722,,00072c3b,荘子,104
00072ddb,frame,483,362,763,789,,,,104
00072ddc,face,1188,125,1266,212,,00072c45,田氏,104
00072ddd,text,1494,747,1571,857,杜さま待ってて今スグに！,,,104
00072dde,frame,77,362,271,724,,,,104
00072ddf,frame,894,880,1381,1095,,,,104
00072de0,frame,280,362,474,724,,,,104
00072de1,face,116,509,243,632,,00072c3b,荘子,104
00072de2,face,571,428,612,486,,00072c45,田氏,104
00072de3,body,141,747,443,1093,,00072c3b,荘子,104
