id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0007306e,frame,833,0,1649,552,,,119
0007306f,face,409,810,445,842,00073070,花莉,119
00073071,frame,1321,552,1575,1100,,,119
00073072,frame,77,336,763,858,,,119
00073073,body,49,641,391,1118,00071736,Other,119
00073074,body,380,776,503,1002,00073070,花莉,119
00073075,body,234,462,475,614,00071736,Other,119
00073076,face,361,506,406,557,00071736,Other,119
00073077,face,594,975,681,1062,00073070,花莉,119
00073078,frame,0,686,764,1169,,,119
00073079,face,183,175,321,292,00073070,花莉,119
0007307a,face,1030,850,1068,882,00073070,花莉,119
0007307b,body,540,892,764,1086,00073070,花莉,119
0007307c,body,512,422,763,857,00073070,花莉,119
0007307d,frame,77,59,431,318,,,119
0007307e,frame,898,552,1312,1100,,,119
0007307f,body,82,60,430,316,00073070,花莉,119
00073080,frame,440,59,763,318,,,119
00073081,frame,514,876,764,1087,,,119
00073082,body,955,810,1132,1000,00073070,花莉,119
