id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0007371b,body,1184,381,1355,548,0007371c,リカオン,33
0007371d,body,394,119,758,318,0007371c,リカオン,33
0007371e,frame,451,340,761,632,,,33
0007371f,body,114,119,369,323,000731db,Other,33
00073720,frame,121,659,382,909,,,33
00073721,body,896,175,1010,347,000731db,Other,33
00073722,body,1313,575,1445,760,000731db,Other,33
00073723,body,381,659,632,913,0007371c,リカオン,33
00073724,body,995,118,1265,355,000731db,Other,33
00073725,body,925,851,1115,1014,000731db,Other,33
00073726,frame,897,776,1544,1105,,,33
00073727,body,454,395,659,542,000731db,Other,33
00073728,body,515,365,663,448,000731db,Other,33
00073729,frame,112,928,628,1107,,,33
0007372a,body,1028,778,1292,1062,000731db,Other,33
0007372b,frame,894,376,1448,547,,,33
0007372c,frame,892,550,1546,772,,,33
0007372d,body,894,612,972,775,000731db,Other,33
0007372e,body,1264,792,1483,1030,0007371c,リカオン,33
0007372f,frame,383,655,762,914,,,33
00073730,body,1351,120,1541,356,000731db,Other,33
00073731,body,206,410,362,587,0007371c,リカオン,33
00073732,body,632,401,757,496,000731db,Other,33
00073733,body,1433,552,1544,780,000731db,Other,33
00073734,frame,112,119,761,357,,,33
00073735,frame,114,341,446,634,,,33
00073736,body,546,461,747,586,000731db,Other,33
00073737,body,970,577,1090,776,000731db,Other,33
00073738,body,1203,182,1309,350,000731db,Other,33
00073739,frame,899,120,1541,353,,,33
0007373a,body,1016,577,1360,777,000731db,Other,33
0007373b,body,1280,193,1373,353,000731db,Other,33
