id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00073a02,face,129,909,212,1077,00073a03,ボーア,,52
00073a04,text,923,230,985,326,,,シュウまたキングに会ったのか,52
00073a05,frame,903,118,1268,337,,,,52
00073a06,frame,102,654,357,1104,,,,52
00073a07,text,1314,788,1378,856,,,いいやとなり―客だ,52
00073a08,body,1026,358,1260,556,000739d5,シュウ,,52
00073a09,text,585,719,722,886,,,―考えてもみろよボーア君は２０年かかってどれだけ動物を増やせた？たかがしれた数だろ？,52
00073a0a,body,106,449,166,549,00073a0b,ドレイク,,52
00073a0c,face,291,491,335,564,000739d5,シュウ,,52
00073a0d,text,1207,903,1224,986,,,聞こえるぞ,52
00073a0e,body,934,579,1128,746,000739d5,シュウ,,52
00073a0f,frame,407,346,754,630,,,,52
00073a10,face,516,165,569,239,00073a0b,ドレイク,,52
00073a11,text,1489,792,1530,874,,,所長は？また昼寝？,52
00073a12,frame,899,768,1135,1102,,,,52
00073a13,text,181,527,262,595,,,ハハ条件反射だなシュウ,52
00073a14,frame,100,387,393,632,,,,52
00073a15,body,166,868,353,1099,00073a0b,ドレイク,,52
00073a16,face,105,560,159,629,00073a17,バートン,,52
00073a18,text,1455,598,1540,681,,,よくいうよ気をつけな今にかじられるぜ,52
00073a19,body,926,1004,1106,1099,000739d5,シュウ,,52
00073a1a,frame,359,642,536,1110,,,,52
00073a1b,text,243,410,301,471,,,オレじゃなかったのか,52
00073a1c,face,260,913,323,981,00073a0b,ドレイク,,52
00073a1d,body,1397,905,1548,1103,000739d5,シュウ,,52
00073a1e,frame,101,116,757,395,,,,52
00073a1f,text,1157,910,1175,967,,,人外境,52
00073a20,body,267,445,392,631,000739d5,シュウ,,52
00073a21,face,167,445,207,514,00073a03,ボーア,,52
00073a22,frame,1275,0,1556,558,,,,52
00073a23,face,1168,1058,1197,1088,00073a17,バートン,,52
00073a24,frame,536,655,758,1100,,,,52
00073a25,body,1001,129,1106,306,000739d5,シュウ,,52
00073a26,face,1016,627,1097,704,000739d5,シュウ,,52
00073a27,face,357,215,430,297,00073a03,ボーア,,52
00073a28,body,440,411,756,626,00073a03,ボーア,,52
00073a29,body,539,909,754,1098,00073a0b,ドレイク,,52
00073a2a,body,455,129,683,356,00073a0b,ドレイク,,52
00073a2b,face,1109,148,1176,255,00073a17,バートン,,52
00073a2c,text,934,980,948,1008,,,わっ,52
00073a2d,text,925,391,1010,520,,,へヘへ顔がいいんでねオオカミにもしたわれちゃって,52
00073a2e,text,190,148,301,248,,,時代遅れで悪かったな！帰れっ!!二度と来るな,52
00073a2f,body,1153,1028,1213,1095,00073a17,バートン,,52
00073a30,body,1031,125,1265,337,00073a17,バートン,,52
00073a31,body,1311,840,1448,1053,00073a17,バートン,,52
00073a32,text,159,726,219,838,,,ドレイク！聞きたくないといったろ,52
00073a33,face,1368,873,1411,918,00073a17,バートン,,52
00073a34,text,1205,787,1273,883,,,ホーめずらしーこんな僻地に,52
00073a35,body,1210,990,1292,1097,000739d5,シュウ,,52
00073a36,body,159,423,268,520,00073a03,ボーア,,52
00073a37,body,129,182,546,385,00073a03,ボーア,,52
00073a38,body,105,840,308,1095,00073a03,ボーア,,52
00073a39,face,1229,1018,1263,1054,000739d5,シュウ,,52
00073a3a,frame,1302,772,1549,1107,,,,52
00073a3b,body,102,501,258,633,00073a17,バートン,,52
00073a3c,face,1100,393,1207,514,000739d5,シュウ,,52
00073a3d,face,614,480,723,609,00073a03,ボーア,,52
00073a3e,frame,902,354,1268,557,,,,52
00073a3f,text,1011,813,1032,936,,,悪かったなっ,52
00073a40,text,435,391,568,542,,,自然環境の中で生まれ育つことが時代遅れなどというやつの顔なぞ見たくもない,52
00073a41,face,634,961,717,1048,00073a0b,ドレイク,,52
00073a42,text,711,141,725,202,,,おいおい,52
00073a43,face,1024,160,1062,200,000739d5,シュウ,,52
00073a44,frame,902,579,1555,750,,,,52
00073a45,text,254,711,317,823,,,だからこんな古くさいやり方はやめて,52
00073a46,face,120,464,150,521,00073a0b,ドレイク,,52
00073a47,frame,1149,769,1292,1106,,,,52
00073a48,text,375,914,459,1108,,,それがクローニング技術でならいくらでも増やせることが出来るんだ,52
00073a49,text,923,596,961,662,,,なーんとでも,52
00073a4a,text,1196,141,1266,254,,,フム…植物の育ちは順調だな―あれ？,52
