id,type,xmin,ymin,xmax,ymax,text_content,page_number
00073f85,text,1323,912,1342,990,ユキ―,80
00073f86,frame,1209,773,1545,1089,,80
00073f87,text,1466,195,1527,310,ユ…キ子供はたくさん生まれたかな？,80
00073f88,text,1275,989,1300,1061,ピィ―,80
00073f89,text,1230,414,1238,440,ビィ,80
00073f8a,frame,1203,342,1547,472,,80
00073f8b,frame,1203,109,1545,318,,80
00073f8c,frame,897,113,1191,1088,,80
00073f8d,text,1349,659,1368,709,ククッ,80
00073f8e,text,1410,587,1520,688,そうかいい子だこれからはずっといっしょだぞ,80
00073f8f,frame,1203,490,1548,749,,80
