id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00074182,frame,45,0,779,1169,,,,92
00074183,frame,246,543,691,690,,,,92
00074184,text,1481,495,1544,593,おまえオレにいっていたのか？,,,92
00074185,frame,1306,341,1553,601,,,,92
00074186,frame,907,339,1294,599,,,,92
00074187,frame,901,116,1555,324,,,,92
00074188,frame,1001,602,1605,1169,,,,92
00074189,frame,898,536,1117,1168,,,,92
0007418a,text,974,149,1041,285,それと引き換えにここで得たものは「怠惰」だけ,,,92
0007418b,frame,102,707,755,868,,,,92
0007418c,body,1064,675,1475,1169,,00073f98,イヌワシ,92
0007418d,body,1048,377,1195,582,,000731db,Other,92
0007418e,body,1059,118,1277,322,,00073f98,イヌワシ,92
0007418f,body,58,1,780,548,,00073f98,イヌワシ,92
00074190,frame,423,381,753,499,,,,92
