id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00074958,body,897,419,1047,629,00074200,プリン,,37
00074959,frame,0,0,193,467,,,,37
0007495a,frame,892,398,1048,645,,,,37
0007495b,text,104,517,145,681,,,どんだけタフなんだお前は・・・・・・,37
0007495c,body,592,219,807,470,00074200,プリン,,37
0007495d,frame,84,488,768,732,,,,37
0007495e,frame,1468,72,1576,373,,,,37
0007495f,body,412,565,594,709,00074200,プリン,,37
00074960,body,6,61,191,400,00074200,プリン,,37
00074961,frame,843,0,1459,375,,,,37
00074962,body,897,691,1044,908,00074200,プリン,,37
00074963,body,195,4,649,460,000741c2,ご主人さま,,37
00074964,body,128,876,260,1159,00074200,プリン,,37
00074965,frame,83,754,279,1168,,,,37
00074966,frame,892,669,1050,923,,,,37
00074967,frame,892,945,1108,1166,,,,37
00074968,body,87,490,611,729,000741c2,ご主人さま,,37
00074969,text,699,790,736,861,,,また恐いか？,37
0007496a,body,1076,375,1651,904,00074200,プリン,,37
0007496b,body,366,857,621,1159,00074200,プリン,,37
0007496c,body,1311,951,1536,1144,00074200,プリン,,37
0007496d,frame,195,0,809,469,,,,37
0007496e,body,910,947,1103,1163,00074200,プリン,,37
0007496f,text,100,792,115,825,,,ほれ,37
00074970,text,650,505,697,634,,,や～っとつかまえた！,37
00074971,frame,1113,947,1579,1169,,,,37
00074972,frame,1037,367,1653,959,,,,37
00074973,face,165,494,388,677,000741c2,ご主人さま,,37
00074974,text,334,795,393,963,,,こんだけ遊んでやったんだからもう恐くないだろ？,37
00074975,body,888,11,1385,298,00074200,プリン,,37
00074976,text,1534,78,1557,232,,,三時間後・・・・・・,37
00074977,frame,284,756,765,1166,,,,37
