id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00074d1d,text,98,280,137,332,おいでおいで,,,57
00074d1e,body,643,614,762,887,,00074bb0,茶ノラ,57
00074d1f,body,885,796,1083,924,,000741ce,ナナ,57
00074d20,body,1137,244,1205,300,,000741ce,ナナ,57
00074d21,text,720,270,743,407,あの子猫だ！,,,57
00074d22,body,1095,235,1128,286,,00074cdf,ミー,57
00074d23,text,942,430,980,525,ああまたっ・・・・・・,,,57
00074d24,frame,1115,571,1568,926,,,,57
00074d25,frame,513,588,766,942,,,,57
00074d26,face,521,975,573,1015,,000741c2,ご主人さま,57
00074d27,text,1050,77,1091,140,・・・・・・とナナ！,,,57
00074d28,frame,882,573,1106,929,,,,57
00074d29,face,103,71,224,173,,000741c2,ご主人さま,57
00074d2a,body,496,314,678,554,,00074bb0,茶ノラ,57
00074d2b,face,930,354,958,370,,000741c2,ご主人さま,57
00074d2c,text,1230,81,1272,179,あっあの子猫！,,,57
00074d2d,body,510,972,593,1162,,000741c2,ご主人さま,57
00074d2e,body,583,61,610,112,,00074bb0,茶ノラ,57
00074d2f,text,1523,88,1544,200,数日後――,,,57
00074d30,frame,881,0,1387,321,,,,57
00074d31,text,1279,965,1433,1096,・・・・・・まあ纒張り守るのは猫の本能だろうから・・・・・・しかたがないのかもなあ・・・・・・,,,57
00074d32,frame,328,0,769,241,,,,57
00074d33,body,98,591,383,1104,,00074cdf,ミー,57
00074d34,face,884,95,955,215,,000741c2,ご主人さま,57
00074d35,text,63,676,106,960,ニャ～～～ッ？,,,57
00074d36,frame,268,265,765,563,,,,57
00074d37,body,1452,418,1562,527,,00074cdf,ミー,57
00074d38,face,897,1002,960,1054,,000741c2,ご主人さま,57
00074d39,face,1407,246,1473,300,,000741c2,ご主人さま,57
00074d3a,body,681,1080,751,1155,,00074cdf,ミー,57
00074d3b,text,1011,966,1028,1007,ん？,,,57
00074d3c,body,954,584,1045,809,,000741c2,ご主人さま,57
00074d3d,text,1063,968,1141,1078,そして・・・・・・さらに数日後――,,,57
00074d3e,body,1441,1065,1556,1140,,000741ce,ナナ,57
00074d3f,frame,0,588,504,1169,,,,57
00074d40,frame,880,342,1567,547,,,,57
00074d41,face,1165,983,1215,1066,,000741c2,ご主人さま,57
00074d42,body,880,30,1032,317,,000741c2,ご主人さま,57
00074d43,body,452,384,553,520,,00074cdf,ミー,57
00074d44,body,335,56,408,233,,000741c2,ご主人さま,57
00074d45,text,467,106,533,233,あんな所で何やってんだ茶ノラの奴・・・・・・,,,57
00074d46,body,540,703,615,934,,00074cdf,ミー,57
00074d47,body,906,346,977,387,,000741c2,ご主人さま,57
00074d48,text,1136,584,1204,772,ナナはとうとう一日中庭を見張っているしまつ・・・・・・,,,57
00074d49,text,268,59,309,167,いっしょにいるのは・・・・・・,,,57
00074d4a,frame,1157,951,1565,1168,,,,57
00074d4b,face,92,402,152,457,,000741c2,ご主人さま,57
00074d4c,text,297,283,338,451,あれ？茶ノラの知り合い？,,,57
00074d4d,body,83,373,179,559,,000741c2,ご主人さま,57
00074d4e,body,1157,388,1389,528,,000741ce,ナナ,57
00074d4f,frame,82,0,322,240,,,,57
00074d50,body,1161,956,1231,1164,,000741c2,ご主人さま,57
00074d51,body,888,972,971,1162,,000741c2,ご主人さま,57
00074d52,body,88,12,244,237,,000741c2,ご主人さま,57
00074d53,text,1035,589,1098,737,なぁ・・・・・・仲良くしてやってくれよナナ・・・・・・,,,57
00074d54,text,386,45,409,120,んん？,,,57
00074d55,text,180,275,245,481,まさか茶ノラの子供じゃないよなぁちっとも似てないし・・・・・・,,,57
00074d56,text,532,598,604,663,お・・・こっちくる,,,57
00074d57,frame,882,951,1152,1167,,,,57
00074d58,body,1399,206,1503,312,,000741c2,ご主人さま,57
00074d59,frame,509,968,764,1166,,,,57
00074d5a,text,895,591,934,792,エサぐらい食べさせてあげたっていいだろう？,,,57
00074d5b,body,1129,667,1448,921,,000741ce,ナナ,57
00074d5c,face,968,609,1018,657,,000741c2,ご主人さま,57
00074d5d,frame,82,264,256,563,,,,57
00074d5e,frame,1395,73,1565,319,,,,57
00074d5f,text,1431,590,1545,740,子猫はたびたび姿を現すもののそのたびにナナが追いはらってしまいます,,,57
