id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00075c29,body,53,869,386,1112,00075c2a,おやじ（第７幕）,,35
00075c2b,text,920,338,981,421,,,はあ…あぶないっスね…,35
00075c2c,text,162,606,276,842,,,そして長く生き続けるうちおやじの体には異変が生じ始めた恐らくは300年近い間に従来の人類が持たないＤＮＡが混入したのであろう,35
00075c2d,face,56,872,384,1111,00075c2a,おやじ（第７幕）,,35
00075c2e,frame,54,602,389,851,,,,35
00075c2f,text,1140,845,1242,952,,,ふうーあぶなかったなぁー君ぃ,35
00075c30,frame,908,550,1176,802,,,,35
00075c31,body,1330,403,1465,534,00075bd6,モロボシダン,,35
00075c32,text,1062,566,1167,714,,,あぶない！君！ここから早く離れるんだ！,35
00075c33,face,263,288,593,576,00075c2a,おやじ（第７幕）,,35
00075c34,face,1341,455,1457,529,00075bd6,モロボシダン,,35
00075c35,frame,1349,554,1597,806,,,,35
00075c36,face,1467,163,1595,292,00075bd6,モロボシダン,,35
00075c37,face,529,750,650,871,00075c2a,おやじ（第７幕）,,35
00075c38,face,961,413,1034,472,00075b14,少年（第６幕）,,35
00075c39,face,1485,483,1566,526,00075b14,少年（第６幕）,,35
00075c3a,frame,53,65,743,580,,,,35
00075c3b,body,1500,686,1602,776,00075b14,少年（第６幕）,,35
00075c3c,body,1009,901,1253,1114,00075bd6,モロボシダン,,35
00075c3d,frame,1198,552,1328,803,,,,35
00075c3e,frame,910,318,1294,530,,,,35
00075c3f,frame,1312,318,1597,534,,,,35
00075c40,text,1502,332,1593,454,,,あっ遅かったやっぱやっちまいましたか！,35
00075c41,text,419,642,527,1034,,,彼が20世紀後半某国を代表する国民的大俳優であったことを知る者は少ないそう彼はその栄誉を称えられ当時のバイオテクノロジーの粋を集め死なない男となり今日に至ったのである当然現在身寄りはいない,35
00075c42,face,1289,738,1330,791,00075b14,少年（第６幕）,,35
00075c43,text,1367,84,1429,177,,,はあ…はあ…,35
00075c44,body,947,627,1120,807,00075bd6,モロボシダン,,35
00075c45,face,908,714,962,790,00075b14,少年（第６幕）,,35
00075c46,body,909,162,1133,296,00075b04,ユウジ,,35
00075c47,text,1528,557,1589,677,,,あの…隊長さんそれで星人の方なんスけど…,35
00075c48,text,1212,563,1267,678,,,うっいかん！,35
00075c49,frame,904,823,1251,1108,,,,35
00075c4a,body,991,361,1239,533,00075bd6,モロボシダン,,35
00075c4b,face,1509,713,1577,761,00075b14,少年（第６幕）,,35
00075c4c,frame,1269,823,1597,1114,,,,35
00075c4d,face,981,666,1054,720,00075bd6,モロボシダン,,35
00075c4e,frame,908,65,1599,298,,,,35
00075c4f,body,905,673,965,802,00075b14,少年（第６幕）,,35
00075c50,text,1298,564,1319,677,,,隊長さん？,35
00075c51,text,1175,333,1283,462,,,ほら…見たまえ…こんなに爪のばしてる…あぶないよなー,35
00075c52,text,1332,336,1418,439,,,あっけないものだな…あぶない刑事の最期だ…,35
00075c53,text,1358,561,1467,683,,,あっポケットに画びょうとかいれてる…ほんっとあぶない奴らだなー,35
00075c54,face,1377,738,1498,801,00075bd6,モロボシダン,,35
00075c55,body,1277,708,1332,805,00075b14,少年（第６幕）,,35
00075c56,body,1356,681,1599,809,00075bd6,モロボシダン,,35
00075c57,body,1118,183,1467,298,00075b0a,タカ,,35
00075c58,body,905,973,1019,1113,00075b14,少年（第６幕）,,35
00075c59,body,1198,671,1284,805,00075bd6,モロボシダン,,35
00075c5a,face,1083,414,1171,506,00075bd6,モロボシダン,,35
00075c5b,body,410,685,748,1112,00075c2a,おやじ（第７幕）,,35
00075c5c,frame,409,599,742,1111,,,,35
00075c5d,body,924,384,1042,531,00075b14,少年（第６幕）,,35
00075c5e,face,1136,198,1205,260,00075b0a,タカ,,35
00075c5f,text,925,567,951,636,,,え!?,35
00075c60,face,915,1018,1006,1086,00075b14,少年（第６幕）,,35
00075c61,face,1063,969,1184,1074,00075bd6,モロボシダン,,35
00075c62,body,1464,69,1601,298,00075bd6,モロボシダン,,35
00075c63,body,1478,440,1601,532,00075b14,少年（第６幕）,,35
00075c64,frame,55,870,388,1113,,,,35
00075c65,body,76,137,750,578,00075c2a,おやじ（第７幕）,,35
00075c66,text,688,609,725,823,,,おやじ当年369才,35
00075c67,face,1200,733,1285,800,00075bd6,モロボシダン,,35
00075c68,text,61,999,199,1109,,,次第に邪悪な意思を持ち始めおやじ本体をも操り始めたのだ,35
00075c69,text,263,994,386,1112,,,おやじのヒゲはいわば触手のような役割を果たし始めた,35
00075c6a,text,907,821,992,966,,,今のってあんたの持ってた爆弾じゃねーのそれで星人の方は無視かよ…,35
