id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000761d0,text,1109,612,1211,739,じゃあもう二度と新聞は出ないんですか!?,,,55
000761d1,text,95,363,159,471,ないよ…いつも通り普通にやる…,,,55
000761d2,body,1425,724,1543,837,,00075d42,ススム,55
000761d3,face,75,750,147,839,,000761d4,先生,55
000761d5,text,441,614,489,746,滅多に怒ることもありませんが……,,,55
000761d6,text,78,112,151,311,毎日のように全国どこかの学校で最後の授業が行われていた,,,55
000761d7,body,1440,477,1564,582,,00075d42,ススム,55
000761d8,body,982,235,1042,326,,000761d9,売店のおばちゃん,55
000761da,text,1277,362,1337,446,何だとお！？,,,55
000761db,frame,70,86,384,324,,,,55
000761dc,text,271,863,375,987,あっわかった先生が殉職するんですね,,,55
000761dd,body,1269,724,1394,832,,00075f0b,21世紀仮面（マモル）,55
000761de,text,697,112,714,277,彼が恐怖の大王である,,,55
000761df,text,1116,869,1212,982,ウソだ休刊ってことはイコール廃刊ってことなんだ！,,,55
000761e0,text,296,356,376,486,先生最後なんだから何か変わったことでもあるんですか！,,,55
000761e1,face,1039,507,1086,562,,00075f0b,21世紀仮面（マモル）,55
000761e2,body,1312,921,1541,1089,,00075f0b,21世紀仮面（マモル）,55
000761e3,body,295,996,388,1089,,000752a1,Other,55
000761e4,text,645,356,720,559,大王は一人暮らしマメな性格で毎日ちゃんと自炊もしている,,,55
000761e5,face,1293,524,1353,579,,00075f0b,21世紀仮面（マモル）,55
000761e6,frame,72,346,386,579,,,,55
000761e7,face,1446,505,1535,574,,00075d42,ススム,55
000761e8,text,1275,615,1334,698,…………,,,55
000761e9,face,1363,1007,1446,1088,,00075f0b,21世紀仮面（マモル）,55
000761ea,text,919,360,1018,458,ちがうちがうどの新聞も今日から休刊なんだって,,,55
000761eb,frame,914,88,1228,326,,,,55
000761ec,frame,1262,88,1572,323,,,,55
000761ed,body,988,655,1204,837,,00075f0b,21世紀仮面（マモル）,55
000761ee,text,667,605,717,693,性格も極めて温厚,,,55
000761ef,frame,912,600,1222,840,,,,55
000761f0,text,496,923,537,999,包丁で指を切っても実に冷静だ,,,55
000761f1,text,277,610,376,710,でも最終回なんだから僕らの中から誰かギセイ者が出るとか！,,,55
000761f2,body,124,919,266,1067,,000761d4,先生,55
000761f3,text,89,863,151,984,なんで俺が死ななきゃならんのだ！最終回だからって,,,55
000761f4,frame,76,856,392,1089,,,,55
000761f5,face,1022,727,1111,829,,00075f0b,21世紀仮面（マモル）,55
000761f6,face,158,746,211,801,,000752a1,Other,55
000761f7,body,570,473,639,580,,000761f8,恐怖の大王,55
000761f9,face,191,459,265,536,,000761d4,先生,55
000761fa,text,1470,874,1557,983,デカい！なんてドデカい発想なんだ！,,,55
000761fb,text,1284,105,1323,207,う～～んそ～だな～,,,55
000761fc,text,1443,108,1568,206,じゃあ仮に今日で人類滅亡ってことにしよう…お前ならどうする？,,,55
000761fd,text,1439,608,1563,739,あごめん…まじめに聞いてんのに…でもそんなことぐらいしか思いつかないなあ…,,,55
000761fe,frame,1260,858,1573,1091,,,,55
000761ff,frame,1262,598,1574,838,,,,55
00076200,text,927,106,980,193,休刊だよー,,,55
00076201,face,948,1024,980,1067,,000761d9,売店のおばちゃん,55
00076202,text,1123,353,1213,448,えっ!?今日は休刊日だったのか,,,55
00076203,text,301,110,361,274,学校もそのほとんどが閉鎖という方向に進んでいた……,,,55
00076204,body,1062,957,1221,1089,,00075f0b,21世紀仮面（マモル）,55
00076205,frame,421,86,731,319,,,,55
00076206,text,641,864,734,1059,ちょっと前は機嫌が悪くて怒ることも多かったみたいです,,,55
00076207,face,276,744,321,800,,000752a1,Other,55
00076208,body,1081,231,1158,320,,00075f0b,21世紀仮面（マモル）,55
00076209,frame,425,596,737,836,,,,55
0007620a,body,1029,478,1135,576,,00075f0b,21世紀仮面（マモル）,55
0007620b,text,436,867,494,1080,でもここにきてそれも納まってます…でも次に彼が怒った時その時こそ……,,,55
0007620c,text,1121,107,1210,206,すいませーん！東スポくださーい,,,55
0007620d,frame,76,604,390,835,,,,55
0007620e,body,75,717,150,840,,000761d4,先生,55
