id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00076df7,text,514,1044,555,1095,知らないくせに･･･,,,13
00076df8,text,364,858,462,969,そういやこんなに他人のプレーを見たことなんてなかったな･･･,,,13
00076df9,text,295,632,382,730,盛安！！！飯原！！！前をかためろ！！！,,,13
00076dfa,face,1288,453,1421,629,,00076b10,羅本斗志郎,13
00076dfb,face,92,435,207,578,,00076b10,羅本斗志郎,13
00076dfc,body,34,85,352,359,,00076b2a,布藤半蔵,13
00076dfd,face,386,695,472,819,,00076b10,羅本斗志郎,13
00076dfe,face,1052,953,1205,1097,,00076b10,羅本斗志郎,13
00076dff,body,289,629,603,823,,00076b10,羅本斗志郎,13
00076e00,body,1212,760,1326,897,,00076b03,火浦春彦,13
00076e01,face,1256,800,1298,846,,00076b03,火浦春彦,13
00076e02,body,52,312,137,379,,00076b3c,高城公雄,13
00076e03,frame,892,0,1620,414,,,,13
00076e04,face,983,500,1089,615,,00076b2a,布藤半蔵,13
00076e05,text,724,858,746,914,くすっ,,,13
00076e06,text,1376,670,1400,719,ちッ,,,13
00076e07,body,1086,790,1174,897,,00076b10,羅本斗志郎,13
00076e08,body,292,884,475,1092,,00076b10,羅本斗志郎,13
00076e09,frame,34,628,282,1169,,,,13
00076e0a,face,90,120,183,217,,00076b2a,布藤半蔵,13
00076e0b,text,1509,40,1532,86,うっ,,,13
00076e0c,frame,895,938,1349,1101,,,,13
00076e0d,text,501,863,568,992,あいついっちょまえにチェイシングの指示だしてやがる･･･,,,13
00076e0e,body,72,407,254,598,,00076b10,羅本斗志郎,13
00076e0f,body,399,20,714,334,,00076b03,火浦春彦,13
00076e10,frame,1248,436,1578,629,,,,13
00076e11,body,574,699,619,754,,00076b34,盛安忍,13
00076e12,text,718,411,738,491,うまい･･･,,,13
00076e13,text,1534,450,1547,532,･････････,,,13
00076e14,body,1250,438,1512,629,,00076b10,羅本斗志郎,13
00076e15,body,447,305,760,598,,00076b19,桂谷徹也,13
00076e16,face,314,978,403,1092,,00076b10,羅本斗志郎,13
00076e17,face,1526,158,1577,217,,00076b10,羅本斗志郎,13
00076e18,face,559,110,650,213,,00076b03,火浦春彦,13
00076e19,frame,291,851,473,1095,,,,13
00076e1a,body,911,751,1047,887,,00076b2a,布藤半蔵,13
00076e1b,text,897,945,979,1063,オレがゾクゾクしてどーする！！！バカー,,,13
00076e1c,text,215,415,289,558,くうッやつらのパスワークでどんどん抜かれていっちまう･･･,,,13
00076e1d,face,534,395,655,556,,00076b19,桂谷徹也,13
00076e1e,body,565,985,621,1029,,00076b10,羅本斗志郎,13
00076e1f,text,319,420,472,538,やはり布藤監督は火浦の才能を知っててパートナーに選んだんだ！！！,,,13
00076e20,text,240,635,263,708,フフッ,,,13
00076e21,frame,894,438,1242,628,,,,13
00076e22,text,1285,943,1330,1027,っきしょう不覚！！！,,,13
00076e23,text,650,630,732,712,相手は2人しかいねーんだ！！,,,13
00076e24,face,1104,808,1153,864,,00076b10,羅本斗志郎,13
00076e25,body,670,292,740,377,,00076b09,other,13
00076e26,body,1358,653,1570,1098,,00076b10,羅本斗志郎,13
00076e27,face,81,765,278,1169,,00076b2a,布藤半蔵,13
00076e28,face,687,1008,744,1093,,00076b19,桂谷徹也,13
00076e29,body,894,253,998,356,,00076b3c,高城公雄,13
00076e2a,text,1158,449,1213,571,私を抜くにはキチンとパスをださないとね,,,13
00076e2b,face,941,769,998,829,,00076b2a,布藤半蔵,13
00076e2c,body,79,662,279,1168,,00076b2a,布藤半蔵,13
00076e2d,frame,396,0,759,378,,,,13
00076e2e,frame,29,0,389,386,,,,13
00076e2f,frame,312,404,762,598,,,,13
00076e30,text,1021,672,1254,702,ッきしょお～ッ！！！,,,13
00076e31,face,1362,796,1574,1102,,00076b10,羅本斗志郎,13
00076e32,body,948,942,1346,1104,,00076b10,羅本斗志郎,13
00076e33,frame,892,657,1349,911,,,,13
00076e34,body,659,927,765,1095,,00076b19,桂谷徹也,13
00076e35,text,512,634,539,678,はいっ,,,13
00076e36,frame,72,406,304,599,,,,13
00076e37,frame,482,852,764,1095,,,,13
00076e38,body,524,683,584,760,,00076b3c,高城公雄,13
00076e39,frame,292,624,763,822,,,,13
00076e3a,body,1304,110,1603,369,,00076b10,羅本斗志郎,13
00076e3b,body,983,460,1239,628,,00076b2a,布藤半蔵,13
00076e3c,frame,1358,657,1575,1100,,,,13
00076e3d,text,50,637,131,798,彼の長所はセンスや技術だけじゃない･･･,,,13
00076e3e,text,902,443,939,524,羅本くん･･･,,,13
