id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00077af2,frame,468,873,751,1087,,,,70
00077af3,body,409,150,480,217,00076b77,飯原正樹,,70
00077af4,body,492,395,578,494,00076b77,飯原正樹,,70
00077af5,frame,399,352,751,564,,,,70
00077af6,text,390,877,438,970,,,飯原切り込む！！！,70
00077af7,text,108,993,132,1086,,,切り込む！！！,70
00077af8,body,270,885,385,1009,00076b09,other,,70
00077af9,face,324,915,354,946,00076b09,other,,70
00077afa,face,73,667,218,844,00076b67,鋼野克明,,70
00077afb,text,586,493,620,556,,,ヘイこっち！！！,70
00077afc,frame,74,69,750,327,,,,70
00077afd,text,1515,540,1555,608,,,「え･･･でも･･･」,70
00077afe,body,246,261,330,326,00076b09,other,,70
00077aff,frame,892,76,1572,504,,,,70
00077b00,body,73,591,279,849,00076b67,鋼野克明,,70
00077b01,body,268,446,325,503,00076b2e,北川剛,,70
00077b02,face,1142,363,1230,439,00076b2a,布藤半蔵,,70
00077b03,text,569,644,691,770,,,ちッそうか北川の運動量がこんなところで活きるとは･･･,70
00077b04,body,556,912,706,1081,00077305,佐藤久,,70
00077b05,body,498,1018,581,1083,00076b2a,布藤半蔵,,70
00077b06,text,340,470,377,552,,,ワンツーリターン！！！,70
00077b07,frame,898,530,1214,697,,,,70
00077b08,frame,1223,530,1570,695,,,,70
00077b09,body,155,893,302,1074,00076b77,飯原正樹,,70
00077b0a,body,105,422,173,468,00076b77,飯原正樹,,70
00077b0b,body,1331,280,1484,498,00076b77,飯原正樹,,70
00077b0c,body,574,127,639,176,00076b09,other,,70
00077b0d,face,504,1042,561,1083,00076b2a,布藤半蔵,,70
00077b0e,body,1072,571,1214,691,00076b19,桂谷徹也,,70
00077b0f,text,1361,743,1507,1006,,,オフサイドトラップを切り崩すのは飯原くんキミの仕事だ！！！,70
00077b10,frame,72,876,461,1088,,,,70
00077b11,frame,895,721,1625,1092,,,,70
00077b12,text,1042,89,1131,320,,,「相手DFは後半もオフサイドトラップをしかけてくるだろう･･･ロングパスは通らない･･･」,70
00077b13,face,1384,577,1468,676,00076b77,飯原正樹,,70
00077b14,body,898,721,1425,1094,00076b77,飯原正樹,,70
00077b15,face,1347,344,1394,432,00076b77,飯原正樹,,70
00077b16,face,375,696,443,776,00076b67,鋼野克明,,70
00077b17,text,408,466,442,555,,,あっいつのまに！？,70
00077b18,face,587,949,660,1020,00077305,佐藤久,,70
00077b19,body,289,617,588,846,00076b67,鋼野克明,,70
00077b1a,text,239,600,256,674,,,しかも･･･,70
00077b1b,body,642,411,713,499,00076b2e,北川剛,,70
00077b1c,frame,71,590,281,851,,,,70
00077b1d,body,1069,316,1319,497,00076b2a,布藤半蔵,,70
00077b1e,frame,72,352,392,567,,,,70
00077b1f,body,1349,535,1509,695,00076b77,飯原正樹,,70
00077b20,body,160,422,216,489,00076b09,other,,70
00077b21,text,688,878,740,949,,,いいぞ北川さん,70
00077b22,face,987,751,1288,1091,00076b77,飯原正樹,,70
00077b23,body,448,466,520,565,00076b09,other,,70
00077b24,text,1235,538,1315,682,,,「大丈夫ディフェンスは桂谷くんがしっかり守ってくれるよ」,70
00077b25,text,911,266,1025,490,,,「そんなときは自分でドリブル突破を試みてごらん！！！チャンスとみたら思いっきり攻めあがるんだ！！！」,70
00077b26,frame,291,591,750,848,,,,70
00077b27,text,1405,92,1508,221,,,「飯原くんきミはもとFW志望の選手だったね」,70
00077b28,text,488,878,539,967,,,行けーー飯原さん！！！,70
00077b29,face,1086,606,1129,662,00076b19,桂谷徹也,,70
