id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00078386,frame,887,748,1619,1168,,,109
00078387,face,1211,183,1377,346,00077305,佐藤久,109
00078388,face,1379,83,1587,312,00076b19,桂谷徹也,109
00078389,body,888,554,1219,721,00076b10,羅本斗志郎,109
0007838a,frame,1103,74,1224,348,,,109
0007838b,frame,1365,359,1510,540,,,109
0007838c,body,1249,355,1398,539,00076b2c,横島透,109
0007838d,frame,992,357,1164,542,,,109
0007838e,frame,1227,549,1619,720,,,109
0007838f,body,889,355,1005,542,00076f10,中山田雅和,109
00078390,face,1022,229,1120,342,00076b0d,増永茂,109
00078391,face,1400,401,1447,441,00076b2e,北川剛,109
00078392,body,1176,464,1243,538,00076b09,other,109
00078393,frame,1204,76,1375,345,,,109
00078394,body,993,356,1172,540,00076b2a,布藤半蔵,109
00078395,face,1462,488,1506,535,00076b09,other,109
00078396,face,1227,121,1292,211,00076b3c,高城公雄,109
00078397,face,972,558,1187,717,00076b10,羅本斗志郎,109
00078398,body,1164,459,1204,541,00076b09,other,109
00078399,face,1200,492,1237,536,00076b09,other,109
0007839a,frame,1133,359,1254,542,,,109
0007839b,frame,74,74,531,651,,,109
0007839c,body,1350,15,1611,343,00076b19,桂谷徹也,109
0007839d,face,1169,481,1199,522,00076b09,other,109
0007839e,body,1117,240,1173,344,00076b09,other,109
0007839f,face,1535,408,1614,501,00076b03,火浦春彦,109
000783a0,body,1498,356,1615,519,00076b03,火浦春彦,109
000783a1,frame,1011,76,1117,348,,,109
000783a2,body,1099,75,1222,346,00076b19,桂谷徹也,109
000783a3,body,80,680,367,1092,00076b09,other,109
000783a4,frame,75,678,362,1092,,,109
000783a5,body,892,181,981,344,00076b34,盛安忍,109
000783a6,body,974,260,1013,345,00076b09,other,109
000783a7,frame,888,552,1219,721,,,109
000783a8,frame,888,76,1045,346,,,109
000783a9,frame,1350,0,1615,346,,,109
000783aa,body,1368,363,1473,528,00076b2e,北川剛,109
000783ab,body,1010,118,1122,344,00076b0d,増永茂,109
000783ac,frame,890,356,1022,543,,,109
000783ad,face,1126,267,1170,311,00076b09,other,109
000783ae,face,1140,109,1215,257,00076b19,桂谷徹也,109
000783af,face,886,229,956,298,00076b34,盛安忍,109
000783b0,face,424,855,474,905,00076b09,other,109
000783b1,frame,1500,355,1616,537,,,109
000783b2,body,946,291,985,345,00076b77,飯原正樹,109
000783b3,face,1257,386,1378,527,00076b2c,横島透,109
000783b4,frame,1245,355,1397,542,,,109
000783b5,body,1372,405,1519,535,00076b09,other,109
000783b6,face,907,418,988,493,00076f10,中山田雅和,109
000783b7,frame,534,0,752,1094,,,109
000783b8,body,1180,429,1223,468,00076b09,other,109
000783b9,face,1245,243,1376,347,00077305,佐藤久,109
000783ba,face,1015,403,1163,542,00076b2a,布藤半蔵,109
000783bb,body,374,808,530,1086,00076b09,other,109
000783bc,face,74,673,366,1091,00076b09,other,109
000783bd,frame,370,681,529,1094,,,109
000783be,body,1224,85,1301,217,00076b3c,高城公雄,109
