id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00078790,body,277,409,346,801,0007845d,ケチャップ,,15
00078791,text,158,963,198,1031,,,バカ,15
00078792,frame,93,861,760,1168,,,,15
00078793,text,143,189,235,316,,,お前を殺すってわけにもいかんから逃げるぜ,15
00078794,text,1221,153,1237,194,,,あ…,15
00078795,face,1010,784,1107,1003,000784de,五つ星父親,,15
00078796,text,1243,498,1266,668,,,て…てめーは,15
00078797,text,465,687,568,800,,,逃がすかこのくそ親父,15
00078798,text,1086,406,1104,428,,,あ,15
00078799,frame,584,379,761,838,,,,15
0007879a,body,926,470,1167,724,00078463,五つ星秋詠,,15
0007879b,text,1306,395,1372,546,,,く・．・来る必要があったのか俺は,15
0007879c,body,129,541,264,837,00078463,五つ星秋詠,,15
0007879d,frame,98,106,761,359,,,,15
0007879e,body,345,956,539,1168,00078463,五つ星秋詠,,15
0007879f,face,379,109,484,196,000784de,五つ星父親,,15
000787a0,text,713,415,731,556,,,こらーっ,15
000787a1,frame,8,381,270,839,,,,15
000787a2,body,203,1053,335,1169,0007845d,ケチャップ,,15
000787a3,body,1466,43,1648,729,00078472,チハル・タカヤ,,15
000787a4,text,932,901,1010,1094,,,うーむお前も元気そうじゃないか秋詠,15
000787a5,body,1230,817,1441,1169,00078463,五つ星秋詠,,15
000787a6,body,1417,261,1540,606,0007845d,ケチャップ,,15
000787a7,frame,276,380,576,839,,,,15
000787a8,face,1035,499,1145,675,00078463,五つ星秋詠,,15
000787a9,body,924,750,1257,1169,000784de,五つ星父親,,15
000787aa,body,330,108,583,349,000784de,五つ星父親,,15
000787ab,body,1285,137,1484,679,00078463,五つ星秋詠,,15
000787ac,body,277,533,469,835,00078463,五つ星秋詠,,15
000787ad,body,1152,282,1278,446,000784de,五つ星父親,,15
000787ae,frame,923,472,1279,729,,,,15
000787af,face,1422,305,1488,345,0007845d,ケチャップ,,15
000787b0,text,1534,103,1563,215,,,秋詠っ！,15
000787b1,face,1345,164,1403,208,00078463,五つ星秋詠,,15
000787b2,face,986,358,1030,403,00078463,五つ星秋詠,,15
000787b3,frame,922,102,1277,264,,,,15
000787b4,face,1167,302,1233,401,000784de,五つ星父親,,15
000787b5,face,1344,856,1410,922,00078463,五つ星秋詠,,15
000787b6,body,394,399,578,621,0007845d,ケチャップ,,15
000787b7,frame,923,284,1274,448,,,,15
000787b8,face,333,597,430,675,00078463,五つ星秋詠,,15
000787b9,face,488,450,576,503,0007845d,ケチャップ,,15
000787ba,frame,1285,0,1645,729,,,,15
000787bb,frame,923,749,1586,1169,,,,15
000787bc,text,600,919,674,1018,,,に…逃げ足が早すぎるぞ,15
000787bd,face,1094,161,1115,187,000784de,五つ星父親,,15
000787be,body,110,1055,216,1166,00078461,Other,,15
000787bf,text,946,476,988,677,,,お・親父！！,15
000787c0,text,1459,815,1550,989,,,てめえ死んでねーじゃねーか,15
000787c1,body,935,343,1037,445,00078463,五つ星秋詠,,15
000787c2,text,644,159,710,248,,,せわしないけど話はそのうちな,15
000787c3,body,1072,152,1184,262,000784de,五つ星父親,,15
000787c4,face,173,546,204,581,00078463,五つ星秋詠,,15
