id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00079116,text,589,663,696,889,そ…それならわたくし人間になれたらいいなあって思ってました,,,60
00079117,frame,1477,604,1583,1087,,,,60
00079118,text,552,396,714,509,知らないの？アタシはこの世で最後の奇蹟を起こす妖精なんだけど,,,60
00079119,face,167,237,203,267,,0007911a,妖精,60
0007911b,body,540,97,731,400,,0007911a,妖精,60
0007911c,frame,67,97,314,520,,,,60
0007911d,frame,922,601,1100,1084,,,,60
0007911e,body,1482,720,1583,1045,,0007845d,ケチャップ,60
0007911f,text,64,1001,167,1078,それ過ぎたらイナカ帰っちゃうからね,,,60
00079120,frame,429,98,532,519,,,,60
00079121,text,120,108,305,204,奇蹟ったって何すりゃいいのか分かんないしでもあなたはおべんとくれたから権利あるわ,,,60
00079122,face,472,368,536,435,,0007845d,ケチャップ,60
00079123,frame,924,96,1308,276,,,,60
00079124,text,938,611,1077,773,一体このヒトは何者だろう？それにしてもヒトには親切にしなければとケチャップは思った,,,60
00079125,face,624,128,700,194,,0007911a,妖精,60
00079126,body,1108,603,1458,1081,,0007911a,妖精,60
00079127,face,1359,280,1549,498,,0007845d,ケチャップ,60
00079128,text,1244,115,1303,196,アタシっていわれましてもー,,,60
00079129,text,1221,309,1303,381,あそうだ名刺はお持ちですか,,,60
0007912a,body,990,147,1095,205,,0007911a,妖精,60
0007912b,text,426,966,537,1059,ええとキャンセルは７日以内にしてね,,,60
0007912c,frame,64,536,731,624,,,,60
0007912d,body,1409,189,1577,307,,0007911a,妖精,60
0007912e,text,931,428,1097,574,メーシ？メシ持ってるのはあなたでしょお願いがあるのアタシ…,,,60
0007912f,text,454,149,511,247,ふつう知ってるもんなんですか？,,,60
00079130,text,1134,795,1193,875,ああっ死ぬ都会ってやーね,,,60
00079131,text,70,395,226,508,好きなお願いしていいのよなんたってこの世で最後なんだからおもいっきりぜーたくなのにしてね,,,60
00079132,text,331,154,380,284,さぁ…知らない,,,60
00079133,text,135,833,192,930,ん…ところであなた男の子よね？,,,60
00079134,frame,832,298,1308,580,,,,60
00079135,body,1148,99,1259,273,,0007845d,ケチャップ,60
00079136,face,1148,142,1193,199,,0007845d,ケチャップ,60
00079137,body,93,218,277,406,,0007911a,妖精,60
00079138,body,413,640,711,939,,0007845d,ケチャップ,60
00079139,frame,1318,3,1583,580,,,,60
0007913a,body,468,269,536,519,,0007845d,ケチャップ,60
0007913b,text,941,112,976,159,じゃー誰よ,,,60
0007913c,frame,64,640,734,943,,,,60
0007913d,frame,318,97,422,520,,,,60
0007913e,face,1433,217,1469,252,,0007911a,妖精,60
0007913f,frame,3,954,729,1093,,,,60
00079140,body,101,673,191,811,,0007911a,妖精,60
00079141,text,94,547,677,614,もしかしてすごいことなのかもしれない…とケチャップは思った,,,60
00079142,body,836,297,1220,585,,0007911a,妖精,60
00079143,text,1536,344,1550,389,アタシ,,,60
00079144,frame,1106,602,1470,1087,,,,60
00079145,text,81,853,94,881,はい,,,60
00079146,face,1307,676,1407,758,,0007911a,妖精,60
00079147,face,121,694,150,720,,0007911a,妖精,60
00079148,body,1322,176,1583,580,,0007845d,ケチャップ,60
00079149,text,1216,925,1447,1022,あなたのおべんとちょうだい飢え死にしそうイナカ出てから何にも食べてないの…,,,60
0007914a,face,420,700,564,822,,0007845d,ケチャップ,60
0007914b,face,1065,348,1125,398,,0007911a,妖精,60
0007914c,text,218,651,375,864,あの…ロボットじゃないなーって分かればその程度でいいんですけど合わせ目のバリとかがなくって…,,,60
0007914d,body,319,328,411,517,,0007911a,妖精,60
0007914e,body,185,957,577,1087,,0007911a,妖精,60
0007914f,face,318,386,373,449,,0007911a,妖精,60
00079150,frame,539,98,729,519,,,,60
00079151,face,1509,795,1580,826,,0007845d,ケチャップ,60
00079152,face,219,961,354,1061,,0007911a,妖精,60
00079153,text,1525,626,1541,708,おねがい？,,,60
