id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00079807,text,1178,393,1249,490,オレらどーおやって別れんのよ？,,,4
00079808,frame,33,491,795,659,,,,4
00079809,face,1398,640,1504,726,,000797d6,枇杷,4
0007980a,face,1011,238,1041,268,,000797d6,枇杷,4
0007980b,frame,914,90,1337,330,,,,4
0007980c,face,1060,229,1095,262,,000797dd,彰良,4
0007980d,text,436,518,471,576,私もォー♡♡,,,4
0007980e,body,380,710,440,1073,,000797d6,枇杷,4
0007980f,text,587,145,707,264,ほんの1年前に出会った異性をお互い姉弟とは思えなかったってやつ？,,,4
00079810,frame,1193,784,1411,1075,,,,4
00079811,frame,374,690,450,1079,,,,4
00079812,text,501,866,579,962,春からは彰良ちゃんと一緒に住んでちょうだいよ,,,4
00079813,body,1058,148,1223,277,,000797dd,彰良,4
00079814,text,189,507,392,621,ところでアタクシ来年は26歳。未成年とやっちゃうのはやっぱ「淫行」として法律上罪になるんでしたっけ？,,,4
00079815,face,1484,18,1588,138,,000797dd,彰良,4
00079816,text,1103,517,1158,610,別れようがねェじゃんっ！？,,,4
00079817,body,232,138,595,481,,000797dd,彰良,4
00079818,text,1257,102,1301,194,だーいたいさぁー,,,4
00079819,body,989,197,1201,296,,000797d6,枇杷,4
0007981a,frame,1346,2,1620,319,,,,4
0007981b,frame,87,90,739,483,,,,4
0007981c,frame,1418,788,1608,1167,,,,4
0007981d,frame,463,688,742,1071,,,,4
0007981e,text,501,107,516,169,スキだよ,,,4
0007981f,body,1418,856,1606,1163,,000797d6,枇杷,4
00079820,face,394,772,432,858,,000797d6,枇杷,4
00079821,text,1360,188,1464,288,股かきながらされた話を誰が真摯な態度で聞けんだよ？,,,4
00079822,text,402,1008,434,1055,エ……？,,,4
00079823,frame,912,784,1182,1077,,,,4
00079824,body,868,626,1606,764,,000797d6,枇杷,4
00079825,face,306,232,362,324,,000797d6,枇杷,4
00079826,face,643,897,695,939,,00079827,ママ,4
00079828,face,1428,937,1604,1135,,000797d6,枇杷,4
00079829,face,1239,794,1341,908,,000797dd,彰良,4
0007982a,text,533,753,568,832,でね枇杷ちゃん,,,4
0007982b,text,141,302,156,380,アイシテル,,,4
0007982c,text,1127,810,1162,905,オトートって言っても,,,4
0007982d,body,186,198,406,478,,000797d6,枇杷,4
0007982e,frame,87,686,361,1081,,,,4
0007982f,text,132,744,316,982,どうせ2人とも東京に住んでるなら2人一緒のほうが生活費も節約できるしママたちも安心だもの,,,4
00079830,body,615,856,737,1068,,00079827,ママ,4
00079831,face,350,208,430,290,,000797dd,彰良,4
00079832,text,513,499,631,644,コイツに「愛」ってわかってんのかなぁと疑いつつもアイのコトバは心に気持ちいい,,,4
00079833,body,1197,792,1381,1062,,000797dd,彰良,4
00079834,frame,862,349,1614,766,,,,4
00079835,face,1356,561,1492,621,,000797dd,彰良,4
00079836,text,622,709,723,805,オトートアキララこと彰良は今春無事に大学合格,,,4
00079837,text,1454,811,1483,890,・・・戸籍上はね,,,4
00079838,body,866,423,1552,760,,000797dd,彰良,4
00079839,text,1213,932,1391,1062,アタクシーー去年の夏大学受験の夏期講習で上京してうちに泊まってたオトートに手をつけてじまいまじだ。,,,4
0007983a,text,984,869,1102,997,オヤ同士が再婚した連れ子同士だから血は繋がってるわけじゃないんだけどね,,,4
0007983b,body,1440,6,1620,327,,000797dd,彰良,4
0007983c,text,1375,845,1388,890,くすっ,,,4
