id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0007a687,body,40,829,295,1161,000798be,Other,,85
0007a688,face,1186,432,1278,527,0007a689,男1,,85
0007a68a,face,1453,435,1541,529,000798be,Other,,85
0007a68b,face,295,934,355,996,0007a26f,さくら,,85
0007a68c,frame,513,95,744,414,,,,85
0007a68d,face,293,618,554,781,0007a26f,さくら,,85
0007a68e,text,568,924,605,1002,,,弱虫なカレだねー,85
0007a68f,frame,910,607,1280,714,,,,85
0007a690,text,680,989,715,1085,,,行っちゃったよぉー,85
0007a691,frame,32,0,552,654,,,,85
0007a692,face,592,225,644,290,0007a689,男1,,85
0007a693,body,526,201,744,415,0007a689,男1,,85
0007a694,body,1326,451,1450,580,000798be,Other,,85
0007a695,frame,1132,381,1568,582,,,,85
0007a696,body,1290,631,1620,1168,0007a689,男1,,85
0007a697,body,1019,110,1233,273,0007a273,イチロー,,85
0007a698,face,1356,488,1433,560,000798be,Other,,85
0007a699,frame,38,806,742,1168,,,,85
0007a69a,text,1175,618,1233,704,,,べつにまだベタベタなんかは・・・,85
0007a69b,text,126,1002,221,1043,,,えへえへえへ,85
0007a69c,body,947,746,1071,1075,0007a273,イチロー,,85
0007a69d,face,970,799,1060,898,0007a273,イチロー,,85
0007a69e,body,1117,643,1184,710,0007a26f,さくら,,85
0007a69f,face,1429,706,1558,884,0007a689,男1,,85
0007a6a0,body,520,807,739,1169,000798be,Other,,85
0007a6a1,text,96,409,116,472,,,えっ！？,85
0007a6a2,body,1385,394,1565,579,000798be,Other,,85
0007a6a3,text,948,970,983,1048,,,やめてくださぁい,85
0007a6a4,body,188,904,421,1165,0007a26f,さくら,,85
0007a6a5,text,678,93,714,202,,,テメーは引っこんでろっ,85
0007a6a6,body,201,564,744,780,0007a26f,さくら,,85
0007a6a7,text,585,689,647,763,,,そんなっうそぉっ,85
0007a6a8,face,158,867,214,951,000798be,Other,,85
0007a6a9,frame,87,565,744,779,,,,85
0007a6aa,face,1124,658,1161,689,0007a26f,さくら,,85
0007a6ab,body,329,526,368,569,0007a273,イチロー,,85
0007a6ac,face,1158,180,1186,208,0007a26f,さくら,,85
0007a6ad,face,634,806,739,926,000798be,Other,,85
0007a6ae,face,910,398,1000,514,0007a273,イチロー,,85
0007a6af,frame,910,740,1071,1080,,,,85
0007a6b0,face,355,11,516,230,0007a26f,さくら,,85
0007a6b1,text,1370,950,1447,1046,,,なに公共の公園でベタベタしてんだよー,85
0007a6b2,body,912,385,1049,582,0007a273,イチロー,,85
0007a6b3,frame,1288,599,1620,1168,,,,85
0007a6b4,frame,1083,740,1282,1169,,,,85
0007a6b5,frame,908,95,1567,352,,,,85
0007a6b6,frame,485,396,744,576,,,,85
0007a6b7,face,1062,654,1095,687,0007a273,イチロー,,85
0007a6b8,face,511,470,584,539,0007a273,イチロー,,85
0007a6b9,body,500,432,704,573,0007a273,イチロー,,85
0007a6ba,body,1135,392,1334,583,0007a689,男1,,85
0007a6bb,body,346,815,577,1166,0007a689,男1,,85
0007a6bc,face,1165,122,1193,146,0007a273,イチロー,,85
0007a6bd,frame,908,381,1126,578,,,,85
0007a6be,text,694,614,725,662,,,イチローッ,85
0007a6bf,body,327,0,550,229,0007a26f,さくら,,85
0007a6c0,body,1013,421,1120,580,0007a26f,さくら,,85
0007a6c1,face,432,849,494,950,0007a689,男1,,85
0007a6c2,body,1155,171,1244,225,0007a26f,さくら,,85
0007a6c3,text,989,616,1043,694,,,きょおは疲れたからカンベンして,85
0007a6c4,face,1036,486,1120,578,0007a26f,さくら,,85
0007a6c5,text,1194,775,1250,871,,,おねーちゃんボクタチとも仲よくしてー,85
0007a6c6,text,138,688,173,740,,,何それーっ,85
0007a6c7,body,1038,635,1116,713,0007a273,イチロー,,85
