id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0007af79,text,76,410,123,549,気になっちゃって,,,50
0007af7a,text,334,90,409,202,でもバド部続いてるんでしょ？,,,50
0007af7b,body,1441,602,1501,817,,0007a840,鳥羽撫子,50
0007af7c,face,154,503,321,665,,0007a840,鳥羽撫子,50
0007af7d,frame,1356,833,1653,1104,,,,50
0007af7e,face,241,886,296,974,,0007aac7,_Other,50
0007af7f,body,995,217,1174,470,,0007aac7,_Other,50
0007af80,frame,1260,580,1566,821,,,,50
0007af81,text,1465,829,1490,913,シャトル,,,50
0007af82,text,314,395,387,510,私の方がやりづらいよ,,,50
0007af83,frame,423,809,759,1115,,,,50
0007af84,text,911,858,1002,988,いちいちクラスに来ないでよ,,,50
0007af85,frame,0,807,416,1169,,,,50
0007af86,body,48,878,156,1164,,0007a833,鳥羽大和,50
0007af87,face,456,554,539,624,,0007aac7,_Other,50
0007af88,body,904,615,1078,812,,0007a840,鳥羽撫子,50
0007af89,face,1049,260,1114,328,,0007aac7,_Other,50
0007af8a,frame,0,42,425,390,,,,50
0007af8b,face,1378,975,1448,1050,,0007a840,鳥羽撫子,50
0007af8c,body,603,134,754,374,,0007aac7,_Other,50
0007af8d,text,65,77,142,189,すぐやめるかと思ったら,,,50
0007af8e,body,1046,212,1279,569,,0007a840,鳥羽撫子,50
0007af8f,face,1145,245,1231,336,,0007a840,鳥羽撫子,50
0007af90,body,1079,582,1243,820,,0007a833,鳥羽大和,50
0007af91,frame,427,93,758,380,,,,50
0007af92,body,1344,212,1627,569,,0007a833,鳥羽大和,50
0007af93,body,1510,929,1626,1103,,0007a833,鳥羽大和,50
0007af94,face,1451,617,1481,657,,0007a840,鳥羽撫子,50
0007af95,text,1305,226,1361,319,おーい撫子ー,,,50
0007af96,face,2,93,27,138,,0007aac7,_Other,50
0007af97,body,106,260,181,389,,0007a840,鳥羽撫子,50
0007af98,face,1363,615,1398,650,,0007a833,鳥羽大和,50
0007af99,text,908,592,930,664,何を？,,,50
0007af9a,text,693,82,760,203,大和くんておかしいよねー,,,50
0007af9b,body,0,70,43,178,,0007aac7,_Other,50
0007af9c,body,405,503,582,796,,0007aac7,_Other,50
0007af9d,text,1257,217,1272,260,！,,,50
0007af9e,text,697,391,744,547,もう一ヶ月くらい？,,,50
0007af9f,body,892,248,955,475,,0007aac7,_Other,50
0007afa0,body,38,395,397,797,,0007a840,鳥羽撫子,50
0007afa1,face,441,863,468,895,,0007aac7,_Other,50
0007afa2,body,423,855,471,1093,,0007aac7,_Other,50
0007afa3,face,157,286,177,323,,0007a840,鳥羽撫子,50
0007afa4,face,603,172,661,265,,0007aac7,_Other,50
0007afa5,body,154,840,387,1166,,0007aac7,_Other,50
0007afa6,body,175,70,286,194,,0007aac7,_Other,50
0007afa7,body,1358,937,1482,1101,,0007a840,鳥羽撫子,50
0007afa8,frame,890,74,1568,200,,,,50
0007afa9,face,218,96,253,131,,0007aac7,_Other,50
0007afaa,face,91,906,141,961,,0007a833,鳥羽大和,50
0007afab,frame,888,212,1283,570,,,,50
0007afac,text,1234,835,1324,989,何言ってんの部活まで待てないの？,,,50
0007afad,body,0,157,108,308,,0007aac7,_Other,50
0007afae,face,965,671,1046,754,,0007a840,鳥羽撫子,50
0007afaf,frame,1289,210,1653,570,,,,50
0007afb0,frame,0,388,404,801,,,,50
0007afb1,text,1265,586,1286,683,あのさー,,,50
0007afb2,text,438,71,483,168,まったくもー,,,50
0007afb3,text,1543,584,1564,674,何の用？,,,50
0007afb4,face,892,293,932,363,,0007aac7,_Other,50
0007afb5,frame,897,581,1251,825,,,,50
0007afb6,frame,890,830,1350,1101,,,,50
0007afb7,text,469,393,519,490,頑張るよねー,,,50
0007afb8,face,1512,977,1580,1055,,0007a833,鳥羽大和,50
0007afb9,body,509,878,602,1113,,0007aac7,_Other,50
0007afba,body,1322,607,1408,814,,0007a833,鳥羽大和,50
0007afbb,face,479,212,557,280,,0007a840,鳥羽撫子,50
0007afbc,face,284,205,319,245,,0007aac7,_Other,50
0007afbd,face,1413,314,1572,476,,0007a833,鳥羽大和,50
0007afbe,body,253,182,346,387,,0007aac7,_Other,50
0007afbf,body,476,445,757,797,,0007aac7,_Other,50
0007afc0,text,1197,588,1246,697,ちょっと打たねえ？,,,50
0007afc1,face,1079,633,1165,739,,0007a833,鳥羽大和,50
0007afc2,text,305,812,409,967,ちょっと大和くんこれひっぱってくれる？,,,50
0007afc3,face,590,506,686,612,,0007aac7,_Other,50
0007afc4,body,431,154,605,376,,0007a840,鳥羽撫子,50
0007afc5,frame,406,393,759,797,,,,50
