id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0007b4aa,frame,0,0,460,1102,,,81
0007b4ab,frame,458,0,759,472,,,81
0007b4ac,body,1006,108,1266,416,0007a833,鳥羽大和,81
0007b4ad,body,1190,678,1430,1169,0007a833,鳥羽大和,81
0007b4ae,frame,883,91,1278,418,,,81
0007b4af,body,195,390,415,876,0007a833,鳥羽大和,81
0007b4b0,face,1125,141,1193,206,0007a833,鳥羽大和,81
0007b4b1,face,1456,91,1542,172,0007b451,小泉正平,81
0007b4b2,body,1299,30,1651,417,0007b451,小泉正平,81
0007b4b3,face,258,450,311,498,0007a833,鳥羽大和,81
0007b4b4,frame,458,486,762,909,,,81
0007b4b5,frame,458,921,759,1101,,,81
0007b4b6,frame,1282,0,1651,421,,,81
0007b4b7,face,613,600,673,673,0007b451,小泉正平,81
0007b4b8,face,555,141,613,209,0007b451,小泉正平,81
0007b4b9,body,509,541,757,905,0007b451,小泉正平,81
0007b4ba,frame,884,432,1653,1166,,,81
0007b4bb,body,461,22,752,470,0007b451,小泉正平,81
