id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0007b4f5,frame,1230,760,1566,1169,,,,84
0007b4f6,body,889,764,1223,1169,0007a833,鳥羽大和,,84
0007b4f7,face,565,906,757,1131,0007b24c,高津仁,,84
0007b4f8,text,1176,767,1204,939,,,クリアだ！！,84
0007b4f9,body,2,605,270,1169,0007a833,鳥羽大和,,84
0007b4fa,body,935,471,1122,749,0007b451,小泉正平,,84
0007b4fb,face,1203,75,1301,181,0007a833,鳥羽大和,,84
0007b4fc,frame,888,379,1128,748,,,,84
0007b4fd,text,1498,97,1546,254,,,全部のコースを予想して,84
0007b4fe,frame,0,601,271,1164,,,,84
0007b4ff,body,930,12,1540,376,0007a833,鳥羽大和,,84
0007b500,frame,1328,383,1564,745,,,,84
0007b501,text,914,111,992,290,,,対応できるようにしないとダメなんだ,84
0007b502,text,656,812,673,867,,,！,84
0007b503,body,289,377,491,1063,0007a833,鳥羽大和,,84
0007b504,face,1446,602,1509,662,0007b451,小泉正平,,84
0007b505,text,1152,401,1171,529,,,ドロップか？,84
0007b506,frame,547,840,764,1162,,,,84
0007b507,body,1363,559,1537,746,0007b451,小泉正平,,84
0007b508,face,940,815,1223,1161,0007a833,鳥羽大和,,84
0007b509,face,147,638,271,886,0007a833,鳥羽大和,,84
0007b50a,frame,890,762,1224,1169,,,,84
0007b50b,body,547,840,759,1169,0007b24c,高津仁,,84
0007b50c,body,491,70,574,320,0007b451,小泉正平,,84
0007b50d,face,1031,635,1096,710,0007b451,小泉正平,,84
0007b50e,frame,872,0,1653,381,,,,84
0007b50f,frame,0,0,765,1169,,,,84
0007b510,text,1290,399,1309,510,,,クリアか？,84
0007b511,frame,1136,379,1316,751,,,,84
