id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0007ba58,body,550,225,685,365,0007b8ef,ミチスケ,,9
0007ba59,body,1296,596,1421,1014,0007b911,宝,,9
0007ba5a,frame,71,391,333,821,,,,9
0007ba5b,frame,68,85,744,369,,,,9
0007ba5c,text,916,923,932,973,,,はーい,9
0007ba5d,body,379,95,556,358,0007b911,宝,,9
0007ba5e,frame,835,31,1205,468,,,,9
0007ba5f,text,669,96,718,226,,,"ちょ…ちょっと
何したの!?",9
0007ba60,frame,0,844,299,1169,,,,9
0007ba61,text,894,1025,915,1078,,,……,9
0007ba62,text,682,860,721,966,,,"うるせーな
いいんだよ!!",9
0007ba63,face,503,1019,526,1047,0007ba64,ミチ子,,9
0007ba65,face,587,262,637,301,0007b8ef,ミチスケ,,9
0007ba66,text,1449,97,1563,320,,,"ほらだからさっさと案内しろ
早くしねーと
おまえ喰っちゃうぞ",9
0007ba67,body,941,934,1146,1164,0007b8ef,ミチスケ,,9
0007ba68,body,184,643,329,818,0007b911,宝,,9
0007ba69,face,1330,249,1416,307,0007b8ef,ミチスケ,,9
0007ba6a,text,661,410,742,595,,,"つまり君のお母さんに
僕らが君の兄弟だって
思い込ませたんだよ",9
0007ba6b,text,174,118,248,211,,,"何って
言っただろ
洗脳だよ",9
0007ba6c,body,1394,618,1501,1011,0007b915,碧,,9
0007ba6d,text,101,244,140,330,,,せ…せんのう!?,9
0007ba6e,frame,338,372,746,830,,,,9
0007ba6f,frame,1210,85,1577,406,,,,9
0007ba70,frame,1287,426,1575,1103,,,,9
0007ba71,face,994,1000,1095,1102,0007b8ef,ミチスケ,,9
0007ba72,frame,906,476,1256,744,,,,9
0007ba73,text,82,663,125,815,,,"えーっ　どー考えても
宝が下だよ!!",9
0007ba74,face,1324,636,1379,678,0007b911,宝,,9
0007ba75,body,1407,774,1499,1012,0007b8ef,ミチスケ,,9
0007ba76,body,322,363,717,834,0007b8ef,ミチスケ,,9
0007ba77,text,1277,167,1309,248,,,ひーっ,9
0007ba78,face,437,135,502,206,0007b911,宝,,9
0007ba79,face,1414,646,1466,693,0007b915,碧,,9
0007ba7a,text,356,691,371,772,,,兄弟…？,9
0007ba7b,body,78,541,228,824,0007b915,碧,,9
0007ba7c,body,1479,729,1569,1102,0007ba64,ミチ子,,9
0007ba7d,face,314,160,373,229,0007b915,碧,,9
0007ba7e,text,325,947,391,1093,,,"ごはんできたわよ
早くいらっしゃーーーい",9
0007ba7f,text,218,850,265,972,,,いっただきま～～す,9
0007ba80,body,1289,192,1474,404,0007b8ef,ミチスケ,,9
0007ba81,body,492,1007,554,1099,0007ba64,ミチ子,,9
0007ba82,text,1312,959,1358,1068,,,"あ…えっと
この人達……",9
0007ba83,face,389,509,561,700,0007b8ef,ミチスケ,,9
0007ba84,face,147,596,202,679,0007b915,碧,,9
0007ba85,body,838,656,1098,1164,0007b911,宝,,9
0007ba86,body,246,102,471,362,0007b915,碧,,9
0007ba87,text,1101,81,1161,182,,,"ど…
どおしようーーーっ",9
0007ba88,frame,313,839,750,1099,,,,9
0007ba89,text,903,107,921,197,,,ただいまぁ,9
0007ba8a,text,922,667,939,718,,,あ…,9
0007ba8b,face,245,683,303,731,0007b911,宝,,9
0007ba8c,frame,1121,424,1296,594,,,,9
0007ba8d,text,1153,777,1264,963,,,"おかえり
お兄ちゃん達
おなかへったのね
すぐ用意するわ",9
0007ba8e,text,216,400,310,527,,,"ちなみに俺
長男
碧は
次男",9
0007ba8f,body,908,476,1253,746,0007ba64,ミチ子,,9
0007ba90,face,928,762,1034,901,0007b911,宝,,9
0007ba91,frame,835,661,1342,1168,,,,9
0007ba92,face,971,528,1128,712,0007ba64,ミチ子,,9
0007ba93,face,1424,809,1464,840,0007b8ef,ミチスケ,,9
0007ba94,text,1400,453,1547,602,,,"おかえりミチスケおそかったわね
おやつあるわよ
……あら？",9
