id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0007c246,text,129,980,150,1061,あのな…,,,49
0007c247,frame,1304,73,1562,583,,,,49
0007c248,text,1325,628,1451,772,"おーいミチスケ
まだかよーーーっ",,,49
0007c249,frame,836,792,1358,1164,,,,49
0007c24a,face,1139,319,1202,373,,0007c1d3,橋之助,49
0007c24b,face,1348,295,1417,351,,0007b915,碧,49
0007c24c,text,1324,970,1369,1089,"ったく　のろま
先行くぞ",,,49
0007c24d,text,975,851,1107,1069,"ふわぁ～あ
でも正月ってのはよくわかんねーけど楽し…
わっ",,,49
0007c24e,face,1217,1004,1234,1017,,0007b915,碧,49
0007c24f,body,897,848,1036,1167,,0007b911,宝,49
0007c250,text,1433,91,1545,226,"碧も
着物
着くずれしちゃってる",,,49
0007c251,body,1368,303,1559,584,,0007ba64,ミチ子,49
0007c252,body,1306,254,1473,584,,0007b915,碧,49
0007c253,face,536,920,603,970,,0007b915,碧,49
0007c254,text,981,73,1049,212,"じゃ
お父さん
お母さん",,,49
0007c255,body,347,839,597,1097,,0007b911,宝,49
0007c256,frame,470,0,769,553,,,,49
0007c257,face,575,156,770,434,,0007b911,宝,49
0007c258,face,1322,878,1387,921,,0007b911,宝,49
0007c259,text,150,552,220,700,"「げげ」じゃない!!
何なんだ　そのかっこうはーっ!?",,,49
0007c25a,body,1437,1013,1537,1093,,0007b8ef,ミチスケ,49
0007c25b,body,1176,967,1295,1141,,0007b915,碧,49
0007c25c,face,229,128,366,232,,0007b8f1,聖先生,49
0007c25d,text,189,840,268,962,"正月はこれを着るんだよ
知んねーのか？",,,49
0007c25e,text,1112,409,1159,503,ムダ遣いすんなよー,,,49
0007c25f,frame,3,0,769,821,,,,49
0007c260,body,194,1000,492,1093,,0007b8f1,聖先生,49
0007c261,face,1461,354,1511,408,,0007ba64,ミチ子,49
0007c262,body,7,41,820,865,,0007b8f1,聖先生,49
0007c263,text,1226,94,1280,228,"じゃ
いってらっしゃい",,,49
0007c264,text,1330,454,1345,566,あ…ありがと,,,49
0007c265,frame,1304,807,1568,1093,,,,49
0007c266,text,1438,811,1560,964,"えーん
待ってよ～～～
悩んでるんだよぅ～～～",,,49
0007c267,face,1163,880,1189,899,,0007b911,宝,49
0007c268,text,468,87,539,259,"げ…げげっ
聖先生!?",,,49
0007c269,body,1087,276,1252,584,,0007c1d3,橋之助,49
0007c26a,frame,836,624,1451,787,,,,49
0007c26b,text,1084,516,1107,569,はーい,,,49
0007c26c,text,709,867,727,956,はかまです,,,49
0007c26d,face,414,909,503,965,,0007b911,宝,49
0007c26e,body,534,4,773,549,,0007b911,宝,49
0007c26f,body,1000,476,1050,580,,0007b915,碧,49
0007c270,face,895,981,1016,1126,,0007b911,宝,49
0007c271,body,1213,376,1297,589,,0007ba64,ミチ子,49
0007c272,body,982,500,1010,593,,0007b8ef,ミチスケ,49
0007c273,text,892,345,931,417,いってきまーーす,,,49
0007c274,frame,1084,76,1291,586,,,,49
0007c275,face,1463,1041,1495,1062,,0007b8ef,ミチスケ,49
0007c276,body,936,482,992,601,,0007b911,宝,49
0007c277,frame,845,64,1077,622,,,,49
0007c278,body,1132,817,1258,956,,0007b911,宝,49
0007c279,body,505,863,685,1095,,0007b915,碧,49
0007c27a,body,1309,830,1446,1093,,0007b911,宝,49
0007c27b,frame,92,810,767,1099,,,,49
0007c27c,face,1230,408,1262,436,,0007ba64,ミチ子,49
