id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0007cfe1,text,1006,876,1199,963,"はいたら体の熱で溶けちゃうじゃない
ビスケットゲタの方がいいわ",,,14
0007cfe2,face,1352,211,1461,288,,0007ca8e,荒木リョク,14
0007cfe3,text,655,81,742,268,と飛んでいるボールに書いてある文字を読むっていうのもありますよね,,,14
0007cfe4,body,109,501,154,566,,0007ca90,小田切朱音,14
0007cfe5,text,1476,617,1559,735,でも心身鍛えてるって感じでかっこいいかも,,,14
0007cfe6,face,1136,1030,1186,1083,,0007ca90,小田切朱音,14
0007cfe7,text,1425,1105,1497,1122,朱音が好き,,,14
0007cfe8,body,218,75,391,313,,0007ca90,小田切朱音,14
0007cfe9,frame,898,338,1217,580,,,,14
0007cfea,face,1409,766,1481,818,,0007ca90,小田切朱音,14
0007cfeb,text,696,351,737,521,字はまだ読めないのもあるだろうから,,,14
0007cfec,face,1421,1019,1486,1067,,0007ca8e,荒木リョク,14
0007cfed,body,1275,890,1374,1097,,0007cb23,黒井正義,14
0007cfee,text,910,613,954,799,チョコゲタには大きな欠陥があるわっ,,,14
0007cfef,text,456,474,474,527,絵で…,,,14
0007cff0,body,960,646,1138,841,,0007ca90,小田切朱音,14
0007cff1,body,1030,1023,1106,1096,,0007ca92,桃井桃,14
0007cff2,text,1413,884,1459,985,滝みたいな感じでっ,,,14
0007cff3,face,944,110,964,136,,0007ca90,小田切朱音,14
0007cff4,face,233,122,302,197,,0007ca90,小田切朱音,14
0007cff5,text,448,693,500,801,全部正解ですっ,,,14
0007cff6,face,474,983,566,1054,,0007ca90,小田切朱音,14
0007cff7,body,1122,1007,1219,1098,,0007ca90,小田切朱音,14
0007cff8,text,1415,91,1448,158,あれ修業だっけ,,,14
0007cff9,face,226,737,345,807,,0007ca90,小田切朱音,14
0007cffa,body,1153,767,1217,836,,0007ca8e,荒木リョク,14
0007cffb,frame,1260,861,1579,1097,,,,14
0007cffc,body,1019,436,1181,579,,0007ca92,桃井桃,14
0007cffd,body,1411,995,1499,1098,,0007ca8e,荒木リョク,14
0007cffe,text,324,97,377,186,次は跳躍いくわよ,,,14
0007cfff,face,155,984,246,1055,,0007ca90,小田切朱音,14
0007d000,face,592,613,667,733,,0007cabd,青崎ほのか,14
0007d001,face,497,224,572,312,,0007ca90,小田切朱音,14
0007d002,text,690,613,739,727,すごいです桃ちゃんっ,,,14
0007d003,text,1132,350,1200,465,桃はチョコゲタがいーなー,,,14
0007d004,face,127,226,198,294,,0007ca92,桃井桃,14
0007d005,text,105,869,172,946,まずはタネを探しましょうっ,,,14
0007d006,text,905,352,970,547,"はきおわったら食べられるし
エコなのー",,,14
0007d007,text,1491,872,1562,984,オレを男だと思うならかけてくれっ,,,14
0007d008,body,76,970,145,1094,,0007ca92,桃井桃,14
0007d009,face,1262,283,1299,317,,0007cabd,青崎ほのか,14
0007d00a,face,222,213,271,262,,0007ca8e,荒木リョク,14
0007d00b,frame,435,72,752,313,,,,14
0007d00c,text,909,869,927,1076,それも間違ってると思う,,,14
0007d00d,text,988,1013,1026,1094,さすがあかねちゃんー,,,14
0007d00e,body,103,199,214,313,,0007ca92,桃井桃,14
0007d00f,body,134,949,274,1093,,0007ca90,小田切朱音,14
0007d010,frame,1258,77,1577,318,,,,14
0007d011,body,560,93,649,311,,0007cabd,青崎ほのか,14
0007d012,frame,1260,336,1577,577,,,,14
0007d013,text,1269,222,1313,260,特訓だったんですか,,,14
0007d014,text,448,265,486,299,ははい,,,14
0007d015,body,444,193,630,313,,0007ca90,小田切朱音,14
0007d016,face,87,1007,131,1057,,0007ca92,桃井桃,14
0007d017,face,998,685,1113,766,,0007ca90,小田切朱音,14
0007d018,body,1385,747,1508,839,,0007ca90,小田切朱音,14
0007d019,text,1530,489,1562,570,シラタキはおいしーけど,,,14
0007d01a,body,633,927,752,1092,,0007ca8e,荒木リョク,14
0007d01b,face,900,919,976,1037,,0007ca8e,荒木リョク,14
0007d01c,frame,433,598,750,831,,,,14
0007d01d,frame,434,858,754,1092,,,,14
0007d01e,body,1509,1008,1551,1096,,0007cabd,青崎ほのか,14
0007d01f,face,1404,477,1481,534,,0007ca92,桃井桃,14
0007d020,frame,1256,598,1579,840,,,,14
0007d021,face,1513,1019,1545,1044,,0007cabd,青崎ほのか,14
0007d022,face,607,909,640,945,,0007cabd,青崎ほのか,14
0007d023,body,940,92,1012,179,,0007ca90,小田切朱音,14
0007d024,text,1132,99,1195,183,鉄ゲタで走り込みもあるわね,,,14
0007d025,text,1494,97,1554,232,特訓つったら滝にうたれるとかあるよな,,,14
0007d026,body,1258,385,1393,578,,0007ca8e,荒木リョク,14
0007d027,frame,900,860,1219,1096,,,,14
0007d028,text,1383,994,1397,1061,水やり中,,,14
0007d029,text,1495,356,1555,443,滝ないしぬれたらさむいよー,,,14
0007d02a,body,1324,162,1466,318,,0007ca8e,荒木リョク,14
0007d02b,body,197,174,305,313,,0007ca8e,荒木リョク,14
0007d02c,text,1269,877,1295,930,は？,,,14
0007d02d,face,175,617,189,630,,0007ca90,小田切朱音,14
0007d02e,face,1008,207,1116,282,,0007ca90,小田切朱音,14
0007d02f,body,900,860,985,1100,,0007ca8e,荒木リョク,14
0007d030,text,279,623,384,707,そうすると芽の成長に合わせて跳躍も成長し,,,14
0007d031,text,523,622,541,666,わーい,,,14
0007d032,face,1163,795,1215,829,,0007ca8e,荒木リョク,14
0007d033,body,981,173,1145,320,,0007ca90,小田切朱音,14
0007d034,text,120,381,353,466,"タネ埋めて
生えた芽を
毎日飛び続けるってヤツ",,,14
0007d035,body,173,607,214,655,,0007ca90,小田切朱音,14
0007d036,text,1340,350,1354,384,だな,,,14
0007d037,body,1254,602,1380,839,,0007ca8e,荒木リョク,14
0007d038,face,528,355,667,455,,0007cabd,青崎ほのか,14
