id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0007d1b0,body,523,598,659,745,0007cabd,青崎ほのか,,18
0007d1b1,text,335,84,376,238,,,この間ペットショップでさ,18
0007d1b2,face,115,759,187,834,0007ca92,桃井桃,,18
0007d1b3,text,1271,866,1295,984,,,二重鳥格!?,18
0007d1b4,frame,1255,857,1576,1097,,,,18
0007d1b5,frame,71,597,392,838,,,,18
0007d1b6,text,96,87,157,304,,,"ずっと肩に小鳥をのっけている
店員さんがいたんだよ",18
0007d1b7,face,1470,1010,1539,1078,0007cb23,黒井正義,,18
0007d1b8,face,984,1041,1036,1081,0007ca92,桃井桃,,18
0007d1b9,body,466,982,520,1096,0007cb23,黒井正義,,18
0007d1ba,body,214,988,323,1096,0007ca90,小田切朱音,,18
0007d1bb,text,1273,363,1314,532,,,じゃあ何も心配することねーだろ,18
0007d1bc,frame,431,857,751,1095,,,,18
0007d1bd,body,1354,811,1510,838,0007cabd,青崎ほのか,,18
0007d1be,text,84,613,147,714,,,店員さんの肩や背中には鳥の…,18
0007d1bf,face,591,233,667,296,0007cabd,青崎ほのか,,18
0007d1c0,frame,898,598,1214,835,,,,18
0007d1c1,body,571,974,685,1094,0007cabd,青崎ほのか,,18
0007d1c2,text,912,662,938,818,,,白馬の王子様…,18
0007d1c3,face,321,1014,393,1093,0007ca8e,荒木リョク,,18
0007d1c4,body,527,342,690,576,0007cb23,黒井正義,,18
0007d1c5,body,524,725,664,836,0007ca90,小田切朱音,,18
0007d1c6,face,1409,1042,1455,1078,0007d0cd,コッコさん,,18
0007d1c7,face,664,776,749,836,0007ca92,桃井桃,,18
0007d1c8,text,91,872,176,975,,,ももももしかしてそ…そのわ…私にも…,18
0007d1c9,face,544,397,627,474,0007cb23,黒井正義,,18
0007d1ca,body,682,991,751,1094,0007ca90,小田切朱音,,18
0007d1cb,body,494,1050,608,1096,0007ca8e,荒木リョク,,18
0007d1cc,text,627,95,734,198,,,コッコさん…ずいぶん園長先生になついてるんですね,18
