id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0007e2bd,face,1021,582,1063,645,0007d558,Other,,70
0007e2be,body,518,590,582,639,0007d558,Other,,70
0007e2bf,body,617,919,689,1046,0007d558,Other,,70
0007e2c0,body,1040,97,1226,374,0007d558,Other,,70
0007e2c1,text,916,41,1008,265,,,この者達も同意しておればーーの話じゃがのお････,70
0007e2c2,text,1249,973,1268,1106,,,目を覚ませ！！,70
0007e2c3,text,1106,993,1155,1127,,,わたしの話をきいてくれ！！,70
0007e2c4,body,483,168,734,442,0007dfbd,隣国の民,,70
0007e2c5,body,1069,766,1281,1165,0007dfbd,隣国の民,,70
0007e2c6,text,1297,720,1355,857,,,貴様は裏切り者だ！！,70
0007e2c7,face,1395,957,1447,1020,0007d558,Other,,70
0007e2c8,frame,92,0,766,449,,,,70
0007e2c9,face,1378,568,1439,647,0007dfbd,隣国の民,,70
0007e2ca,face,1333,109,1382,168,0007d558,Other,,70
0007e2cb,frame,1274,501,1543,696,,,,70
0007e2cc,face,267,504,323,579,0007d558,Other,,70
0007e2cd,body,435,552,533,637,0007d558,Other,,70
0007e2ce,text,1035,277,1119,401,,,？！,70
0007e2cf,body,1106,196,1471,483,0007dfbd,隣国の民,,70
0007e2d0,body,300,538,477,631,0007d558,Other,,70
0007e2d1,text,1117,510,1248,623,,,四郎さまは我等の神だ！！四郎さまを罵倒した貴様は,70
0007e2d2,body,884,545,1101,690,0007d558,Other,,70
0007e2d3,text,1474,54,1498,170,,,ーーただし,70
0007e2d4,face,489,570,510,609,0007d558,Other,,70
0007e2d5,text,1204,727,1249,817,,,ま････まてっ！！,70
0007e2d6,body,102,159,446,443,0007d558,Other,,70
0007e2d7,body,447,914,543,1041,0007d558,Other,,70
0007e2d8,face,1112,122,1153,167,0007d558,Other,,70
0007e2d9,text,1428,728,1527,823,,,ヨハン！！貴様こそ悪魔に魂を売ったのだ,70
0007e2da,frame,94,465,765,638,,,,70
0007e2db,frame,20,658,760,1168,,,,70
0007e2dc,body,1286,876,1545,1167,0007d558,Other,,70
0007e2dd,body,17,597,341,1167,0007d570,天草四郎,,70
0007e2de,body,1273,519,1521,693,0007dfbd,隣国の民,,70
0007e2df,text,881,743,936,852,,,地獄へ行けヨハン！！,70
0007e2e0,frame,1278,712,1544,1168,,,,70
0007e2e1,body,553,899,639,1048,0007d558,Other,,70
0007e2e2,frame,877,501,1265,697,,,,70
0007e2e3,text,1493,506,1534,636,,,みんな････どうしたんだ？,70
0007e2e4,face,366,564,398,609,0007d558,Other,,70
0007e2e5,text,1039,713,1097,848,,,裏切り者には死罪を！！,70
0007e2e6,body,1160,641,1209,698,0007d558,Other,,70
0007e2e7,body,1227,74,1471,398,0007d558,Other,,70
0007e2e8,text,384,453,694,588,,,わあああ･･･,70
0007e2e9,frame,881,714,1139,1168,,,,70
0007e2ea,body,90,461,331,635,0007d558,Other,,70
0007e2eb,text,884,518,951,613,,,神をなじったも同じだ！！,70
0007e2ec,frame,877,0,1544,480,,,,70
0007e2ed,frame,1068,717,1300,1168,,,,70
0007e2ee,text,321,675,402,813,,,ククク･･･,70
0007e2ef,text,1292,507,1315,661,,,何のマネだ････！？,70
0007e2f0,face,1120,844,1264,1054,0007dfbd,隣国の民,,70
0007e2f1,body,397,917,489,1048,0007d558,Other,,70
0007e2f2,body,1077,618,1155,696,0007d558,Other,,70
