id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0007e3de,text,1263,904,1361,1053,おかしい････狼はめったに人を襲わないはずなのに････,,,76
0007e3df,frame,886,762,1155,880,,,,76
0007e3e0,body,1402,688,1496,896,,0007d90b,柳生十兵衛,76
0007e3e1,body,915,767,1085,879,,0007d90b,柳生十兵衛,76
0007e3e2,face,1452,315,1577,493,,0007d90b,柳生十兵衛,76
0007e3e3,frame,277,0,767,401,,,,76
0007e3e4,face,1338,37,1391,93,,0007d90b,柳生十兵衛,76
0007e3e5,face,108,179,153,213,,0007de00,犬神,76
0007e3e6,frame,888,894,1155,1163,,,,76
0007e3e7,text,1161,194,1252,438,ギャウン･･,,,76
0007e3e8,face,645,114,687,181,,0007d90b,柳生十兵衛,76
0007e3e9,face,965,791,1054,876,,0007d90b,柳生十兵衛,76
0007e3ea,text,1518,664,1538,772,大丈夫か！？,,,76
0007e3eb,frame,22,0,266,398,,,,76
0007e3ec,face,1009,495,1039,526,,0007d90b,柳生十兵衛,76
0007e3ed,body,955,942,1067,1148,,0007d90b,柳生十兵衛,76
0007e3ee,body,1392,886,1485,1005,,0007d90b,柳生十兵衛,76
0007e3ef,body,539,64,768,397,,0007d90b,柳生十兵衛,76
0007e3f0,face,902,383,973,466,,0007d90b,柳生十兵衛,76
0007e3f1,face,266,568,495,910,,0007de00,犬神,76
0007e3f2,frame,886,70,1111,337,,,,76
0007e3f3,frame,886,336,1094,595,,,,76
0007e3f4,text,216,54,253,170,ここがおまえの････,,,76
0007e3f5,text,569,29,617,146,まっていたぞ花影！！,,,76
0007e3f6,body,278,212,539,397,,0007d90b,柳生十兵衛,76
0007e3f7,text,1507,844,1527,931,狼････！？,,,76
0007e3f8,body,1068,951,1153,1073,,0007d90b,柳生十兵衛,76
0007e3f9,frame,24,417,765,1167,,,,76
0007e3fa,frame,885,593,1157,749,,,,76
0007e3fb,frame,1088,0,1627,668,,,,76
0007e3fc,text,638,421,682,701,死に場所だ！！,,,76
0007e3fd,body,1268,5,1622,462,,0007d90b,柳生十兵衛,76
0007e3fe,body,1242,228,1625,664,,0007d90b,柳生十兵衛,76
0007e3ff,text,915,903,980,1018,フフフフ･･･,,,76
0007e400,body,20,418,761,1168,,0007de00,犬神,76
0007e401,body,985,471,1079,594,,0007d90b,柳生十兵衛,76
0007e402,body,882,354,987,583,,0007d90b,柳生十兵衛,76
0007e403,frame,1168,629,1549,1068,,,,76
0007e404,body,433,83,467,165,,0007de00,犬神,76
0007e405,body,25,137,222,391,,0007de00,犬神,76
