id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0007f1ce,frame,872,725,1602,1169,,,,45
0007f1cf,text,332,244,346,295,……,,,45
0007f1d0,text,599,200,651,261,嫌,,,45
0007f1d1,frame,319,87,463,409,,,,45
0007f1d2,face,478,114,523,154,,0007f08a,瀬川達也,45
0007f1d3,text,142,228,207,319,わしにも理想があるわけよ,,,45
0007f1d4,frame,86,477,752,887,,,,45
0007f1d5,body,1146,738,1604,1168,,0007f08a,瀬川達也,45
0007f1d6,text,1469,470,1552,579,まず第一にあの白衣がいけんわー,,,45
0007f1d7,body,513,111,706,273,,0007f0a0,のり,45
0007f1d8,face,996,287,1043,334,,0007f0a0,のり,45
0007f1d9,text,945,115,1126,148,イェーーーー,,,45
0007f1da,body,1312,499,1419,721,,0007f0a0,のり,45
0007f1db,frame,874,3,1606,446,,,,45
0007f1dc,text,599,329,624,434,なんでじゃあ,,,45
0007f1dd,text,543,689,623,785,光を受けて茶色く光ってる,,,45
0007f1de,text,149,761,170,860,トキメキ…,,,45
0007f1df,text,651,909,727,1012,俺の彼女候補達……,,,45
0007f1e0,frame,531,847,779,1169,,,,45
0007f1e1,face,1139,278,1175,323,,0007f0bb,マリ,45
0007f1e2,frame,478,291,751,424,,,,45
0007f1e3,face,354,189,448,271,,0007f08a,瀬川達也,45
0007f1e4,face,520,326,556,360,,0007f08a,瀬川達也,45
0007f1e5,body,1128,256,1222,447,,0007f0bb,マリ,45
0007f1e6,body,617,315,708,422,,0007f0a0,のり,45
0007f1e7,body,221,501,544,885,,0007f08a,瀬川達也,45
0007f1e8,body,1166,508,1228,593,,0007f08a,瀬川達也,45
0007f1e9,body,325,100,471,271,,0007f08a,瀬川達也,45
0007f1ea,text,966,599,1031,672,うちは帰らせてもらうわ,,,45
0007f1eb,body,95,909,518,1167,,0007f0a0,のり,45
0007f1ec,text,1362,70,1545,146,ひと目ぼれは本当っつーーーのを痛感した1日じゃった,,,45
0007f1ed,text,324,95,464,153,よくみてるのね。,,,45
0007f1ee,face,376,300,438,389,,0007f0a0,のり,45
0007f1ef,text,1391,625,1464,723,そーじゃああとあのかみガタも,,,45
0007f1f0,text,1419,796,1462,962,瀬川ーーーっ,,,45
0007f1f1,text,685,78,731,198,後ろのっけてけー,,,45
0007f1f2,text,708,313,728,405,けち〰〰,,,45
0007f1f3,face,186,942,395,1120,,0007f0a0,のり,45
0007f1f4,text,195,645,299,718,初恋にもにた不思議な感情,,,45
0007f1f5,frame,1310,446,1556,721,,,,45
0007f1f6,body,378,271,467,407,,0007f0a0,のり,45
0007f1f7,face,633,340,680,383,,0007f0a0,のり,45
0007f1f8,frame,1331,0,1559,430,,,,45
0007f1f9,face,394,532,443,597,,0007f08a,瀬川達也,45
0007f1fa,body,894,461,981,719,,0007f0a0,のり,45
0007f1fb,text,78,1018,181,1108,なにが彼女候補じゃ笑わせるでない,,,45
0007f1fc,frame,891,446,1309,721,,,,45
0007f1fd,frame,473,89,754,273,,,,45
0007f1fe,body,976,273,1070,446,,0007f0a0,のり,45
0007f1ff,face,1152,623,1239,706,,0007f0bb,マリ,45
0007f200,text,639,519,693,610,風になびく長い髪,,,45
0007f201,text,588,980,651,1083,ケッくだらん,,,45
0007f202,text,436,928,514,1018,恋も知らんよーな男は青二才じゃ,,,45
0007f203,face,1345,565,1408,652,,0007f0a0,のり,45
0007f204,body,476,291,578,424,,0007f08a,瀬川達也,45
0007f205,text,1471,588,1527,706,しみ　ついとるしグシャグシャじゃし,,,45
0007f206,text,1314,627,1335,663,あ,,,45
0007f207,body,883,266,1032,448,,0007e7da,Other,45
0007f208,body,1031,258,1156,445,,0007e7da,Other,45
0007f209,text,319,331,470,403,あたりまえじゃあ,,,45
0007f20a,frame,84,902,529,1169,,,,45
0007f20b,face,1219,942,1383,1133,,0007f08a,瀬川達也,45
0007f20c,frame,47,3,751,478,,,,45
0007f20d,face,958,295,987,338,,0007e7da,Other,45
0007f20e,text,1174,113,1271,221,今日の議題は「ゆきじい改善計画」について,,,45
0007f20f,body,476,87,574,274,,0007f08a,瀬川達也,45
0007f210,face,896,557,941,626,,0007f0a0,のり,45
0007f211,body,1104,582,1302,722,,0007f0bb,マリ,45
0007f212,text,1240,476,1270,517,悪い,,,45
0007f213,text,427,357,585,468,由美ちゃんにはっちゃんさちぴーにっこーえみこにゆきこのりえにあすかはるひ…,,,45
