id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0007fa7c,face,379,320,417,379,0007f61b,住職,,89
0007fa7d,frame,84,591,752,792,,,,89
0007fa7e,body,457,609,717,794,0007f61b,住職,,89
0007fa7f,face,1164,705,1198,753,0007f61b,住職,,89
0007fa80,text,620,874,674,969,,,うれしいくせに,89
0007fa81,text,1223,678,1241,728,,,……,89
0007fa82,face,1249,267,1301,319,0007f5b6,良広,,89
0007fa83,text,911,681,1034,997,,,本当じゃな!?わしゃ死ぬまで忘れんからなあ,89
0007fa84,body,1237,240,1367,610,0007f5b6,良広,,89
0007fa85,body,1178,633,1269,844,0007f5b8,杉村月子,,89
0007fa86,text,990,988,1044,1075,,,あなた血圧がっっ,89
0007fa87,text,181,418,275,579,,,ちょっと位ええじゃんかーケチィ,89
0007fa88,face,1219,817,1255,857,0007f5b6,良広,,89
0007fa89,face,1355,358,1385,402,0007e7da,Other,,89
0007fa8a,body,353,811,678,1082,0007f5b8,杉村月子,,89
0007fa8b,face,145,713,220,784,0007f5b8,杉村月子,,89
0007fa8c,body,1400,330,1475,615,0007f5b8,杉村月子,,89
0007fa8d,body,1278,703,1392,1082,0007f5b6,良広,,89
0007fa8e,text,289,659,357,777,,,あんなんで坊主になれるかっちゅーの,89
0007fa8f,body,259,297,450,482,0007f61b,住職,,89
0007fa90,body,1435,303,1565,616,0007f61b,住職,,89
0007fa91,frame,1078,633,1269,1081,,,,89
0007fa92,frame,86,813,754,1086,,,,89
0007fa93,face,94,835,336,1085,0007f61b,住職,,89
0007fa94,face,1202,656,1232,690,0007f5b8,杉村月子,,89
0007fa95,frame,1094,81,1230,613,,,,89
0007fa96,text,925,446,1019,575,,,またぐっちゅー事は 坊主になるっちゅー事じゃぞ,89
0007fa97,face,952,187,1011,250,0007f61b,住職,,89
0007fa98,frame,895,79,1088,615,,,,89
0007fa99,text,104,123,215,287,,,だめですお医者様に止められてるんだから,89
0007fa9a,face,455,674,548,786,0007f61b,住職,,89
0007fa9b,text,1478,737,1510,874,,,勝手にしろ,89
0007fa9c,face,172,328,208,368,0007f5b8,杉村月子,,89
0007fa9d,body,1149,790,1265,1083,0007f5b6,良広,,89
0007fa9e,body,117,650,265,790,0007f5b8,杉村月子,,89
0007fa9f,text,1146,111,1173,186,,,そこっ,89
0007faa0,text,1386,256,1418,329,,,おじさんっ,89
0007faa1,text,520,333,592,450,,,だめです父さん,89
0007faa2,frame,880,615,1124,1085,,,,89
0007faa3,text,1262,439,1353,601,,,そんでもって寺なんぞ 入ったりするからまた おかし,89
0007faa4,face,1025,203,1077,286,0007f5b6,良広,,89
0007faa5,text,641,99,667,287,,,相変わらずな日々ーー,89
0007faa6,face,1500,320,1542,381,0007f61b,住職,,89
0007faa7,text,355,113,397,242,,,ちょっとくらいええじゃないか,89
0007faa8,body,90,811,340,1084,0007f61b,住職,,89
0007faa9,text,312,429,375,500,,,おじさんがまんがまん,89
0007faaa,frame,1278,637,1563,1085,,,,89
0007faab,body,141,299,250,472,0007f5b8,杉村月子,,89
0007faac,face,1428,354,1460,392,0007f5b8,杉村月子,,89
0007faad,body,972,171,1090,615,0007f5b6,良広,,89
0007faae,text,1329,209,1357,288,,,父さんっ,89
0007faaf,body,895,152,1074,406,0007f61b,住職,,89
0007fab0,face,273,128,305,170,0007e7da,Other,,89
0007fab1,text,625,624,705,717,,,相変わらず愛想の無い奴よのぉ,89
0007fab2,body,1333,326,1418,607,0007e7da,Other,,89
0007fab3,body,237,110,349,432,0007e7da,Other,,89
0007fab4,face,410,866,552,1020,0007f5b8,杉村月子,,89
0007fab5,body,1109,688,1235,1054,0007f61b,住職,,89
0007fab6,text,1459,95,1536,286,,,坊主になりたくない坊主（頭）っちゅーのも変な話よのぉ,89
0007fab7,frame,1237,77,1564,615,,,,89
0007fab8,frame,90,75,446,568,,,,89
