id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00080140,frame,389,428,762,807,,,,47
00080141,text,429,102,517,192,わたしにはそんな大きいことわからない,,,47
00080142,text,635,97,729,199,今は…いい時代だろうか…？,,,47
00080143,text,1448,400,1502,506,すぐにさめろ!!,,,47
00080144,frame,892,659,1581,1116,,,,47
00080145,face,136,593,313,805,,0007fbb4,宮沢真理,47
00080146,body,72,430,377,807,,0007fbb4,宮沢真理,47
00080147,text,193,438,354,567,その時代のひとにとってはもちろんそんな見え方をするはずはない自分たちの時代なのだから,,,47
00080148,frame,68,72,762,411,,,,47
00080149,frame,832,386,1648,521,,,,47
0008014a,frame,833,67,1646,399,,,,47
0008014b,frame,890,490,1581,572,,,,47
0008014c,frame,68,425,378,807,,,,47
0008014d,text,898,109,1028,246,助けて…これは――夢だ！,,,47
0008014e,text,425,438,539,643,今に住むわたしから見ると昔のものはどれも切なくなるほど素敵に見えるけど…,,,47
0008014f,frame,70,825,763,1119,,,,47
00080150,body,908,72,1641,402,,0007fbb4,宮沢真理,47
00080151,face,1082,115,1323,323,,0007fbb4,宮沢真理,47
