id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000802be,body,255,420,478,586,0007fbb4,宮沢真理,,59
000802bf,body,903,997,1057,1110,0007fbc2,斉藤さつき,,59
000802c0,text,706,74,742,160,,,転校？,59
000802c1,frame,879,64,1140,366,,,,59
000802c2,face,977,1025,1031,1083,0007fbc2,斉藤さつき,,59
000802c3,text,610,621,678,697,,,なんか残念だなあー,59
000802c4,face,920,129,1058,273,0007fbb4,宮沢真理,,59
000802c5,face,267,447,388,577,0007fbb4,宮沢真理,,59
000802c6,face,347,295,411,367,0007fbb4,宮沢真理,,59
000802c7,body,880,345,1140,623,0007fbc2,斉藤さつき,,59
000802c8,text,1510,668,1556,768,,,どうしたんだよー,59
000802c9,text,1104,357,1129,419,,,真理ぃ,59
000802ca,body,72,165,295,411,0007fbc2,斉藤さつき,,59
000802cb,face,492,663,561,734,0007fbc2,斉藤さつき,,59
000802cc,face,526,284,707,463,0007fbc2,斉藤さつき,,59
000802cd,frame,480,27,818,587,,,,59
000802ce,body,260,802,743,1099,000802cf,男子生徒,,59
000802d0,frame,76,63,479,412,,,,59
000802d1,text,252,67,463,170,,,うん……３学期いっぱいはいるけど…ちょっとうちの都合でさ,59
000802d2,text,1533,868,1572,977,,,おはやうー,59
000802d3,frame,72,796,767,1103,,,,59
000802d4,face,963,426,1074,570,0007fbc2,斉藤さつき,,59
000802d5,face,223,219,263,291,0007fbc2,斉藤さつき,,59
000802d6,body,428,614,657,779,0007fbc2,斉藤さつき,,59
000802d7,body,185,691,272,777,000802cf,男子生徒,,59
000802d8,text,501,53,565,229,,,えーもう？,59
000802d9,frame,74,421,473,588,,,,59
000802da,face,1307,677,1440,831,0007fbc2,斉藤さつき,,59
000802db,body,1129,649,1574,844,0007fbc2,斉藤さつき,,59
000802dc,text,322,616,384,718,,,おーい聞いたか,59
000802dd,text,120,830,240,967,,,ついにここ取りこわし決定だってさあー,59
000802de,body,883,72,1136,365,0007fbb4,宮沢真理,,59
000802df,body,882,644,1279,844,0007fbb4,宮沢真理,,59
000802e0,frame,880,860,1574,1112,,,,59
000802e1,face,1421,280,1480,349,0007fbc2,斉藤さつき,,59
000802e2,face,948,692,1151,844,0007fbb4,宮沢真理,,59
000802e3,text,1099,78,1128,161,,,ふーん…,59
000802e4,text,99,70,148,151,,,えーえーしかしー,59
000802e5,text,1219,647,1238,705,,,……,59
000802e6,body,1149,353,1279,594,0007fbb4,宮沢真理,,59
000802e7,body,314,255,466,411,0007fbb4,宮沢真理,,59
000802e8,face,408,866,547,1032,000802cf,男子生徒,,59
000802e9,frame,882,644,1572,845,,,,59
000802ea,text,1195,80,1474,219,,,だからあれも観光の名物にしようって話もあるし……あの石像も今朝見たらくずれてるしさあ……,59
000802eb,body,1359,217,1568,619,0007fbc2,斉藤さつき,,59
000802ec,body,1092,956,1254,1108,0007fbb4,宮沢真理,,59
000802ed,frame,73,605,768,784,,,,59
000802ee,body,484,138,817,590,0007fbc2,斉藤さつき,,59
000802ef,frame,880,331,1138,625,,,,59
000802f0,text,96,451,184,543,,,せっかく友だちになれたのにねえ……,59
000802f1,frame,1149,71,1576,627,,,,59
000802f2,text,1010,871,1128,962,,,実はさ…夕べいおうと思ったんだけど…,59
000802f3,text,1467,863,1502,920,,,おー,59
