id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00080bc3,text,1250,342,1310,441,審査員がまわります,,,21
00080bc4,text,391,403,437,492,審査員がかわいそう,,,21
00080bc5,frame,911,273,1207,478,,,,21
00080bc6,text,1523,313,1562,386,５人分おしまい,,,21
00080bc7,text,980,756,1035,883,まずは１番のこれから……,,,21
00080bc8,face,483,462,561,535,,000807eb,中村真実,21
00080bc9,frame,33,2,534,590,,,,21
00080bca,frame,1306,500,1574,1065,,,,21
00080bcb,body,562,71,739,370,,00080b91,男性B,21
00080bcc,face,1079,400,1120,441,,000807eb,中村真実,21
00080bcd,frame,912,500,1296,661,,,,21
00080bce,text,1108,274,1205,388,芹香どんなのつくったの？教えてよ,,,21
00080bcf,body,955,358,1060,479,,00080761,後藤芹香,21
00080bd0,face,241,667,303,717,,00080bd1,女性C,21
00080bd2,text,354,92,410,169,あたくしえんりょさせてください,,,21
00080bd3,face,581,139,737,304,,00080bd4,男性C,21
00080bd5,frame,561,72,741,373,,,,21
00080bd6,frame,915,70,1206,251,,,,21
00080bd7,body,1016,496,1140,659,,00080bd8,女性B,21
00080bd9,text,680,402,725,455,気持ちわるっ,,,21
00080bda,frame,78,593,738,767,,,,21
00080bdb,body,1105,500,1300,660,,00080b91,男性B,21
00080bdc,face,382,601,519,708,,00080bdd,男性D,21
00080bde,text,1223,507,1288,596,なかなかの傑作ぞろいですな,,,21
00080bdf,text,917,368,948,475,ヒ・ミ・ツ,,,21
00080be0,text,201,148,274,247,これは味はいいが平凡だな,,,21
00080be1,text,479,819,544,922,緑色のクレープ？,,,21
00080be2,face,1115,400,1154,439,,000807e3,小沢さち子,21
00080be3,text,1028,285,1059,352,そーよ,,,21
00080be4,text,1151,63,1198,216,参加者の方はさがってください,,,21
00080be5,frame,915,673,1302,897,,,,21
00080be6,face,1030,148,1061,174,,0008075d,Other,21
00080be7,face,925,82,960,97,,0008075d,Other,21
00080be8,face,583,454,676,534,,000807e3,小沢さち子,21
00080be9,text,524,600,734,757,うーんどれもこれもいまひとついままでにあるようなものか奇をてらいすぎたものばかりで……,,,21
00080bea,body,1111,379,1197,476,,000807e3,小沢さち子,21
00080beb,body,1064,364,1124,475,,000807eb,中村真実,21
00080bec,text,139,896,206,1021,中身はみえないけど・・・・・・,,,21
00080bed,face,1306,94,1421,184,,00080761,後藤芹香,21
00080bee,frame,914,915,1297,1069,,,,21
00080bef,text,995,544,1026,628,ほんとに,,,21
00080bf0,frame,350,66,552,368,,,,21
00080bf1,frame,1218,5,1578,494,,,,21
00080bf2,face,964,400,1027,441,,00080761,後藤芹香,21
00080bf3,text,121,378,297,549,これは食べにくすぎるあくまで手軽で食べやすい食べ物であるべきだ,,,21
00080bf4,body,915,500,1037,657,,0008075d,Other,21
00080bf5,face,1150,530,1208,578,,00080bd4,男性C,21
00080bf6,text,448,78,540,198,なんだこりゃトロを生クリームであえてある,,,21
00080bf7,body,214,607,356,763,,00080bd1,女性C,21
00080bf8,face,1041,513,1089,546,,00080bd8,女性B,21
00080bf9,face,374,218,428,259,,00080bd8,女性B,21
00080bfa,text,147,622,197,708,あらこれは？,,,21
00080bfb,body,420,388,591,572,,000807eb,中村真実,21
00080bfc,face,953,498,1005,529,,0008075d,Other,21
00080bfd,body,546,384,738,577,,000807e3,小沢さち子,21
00080bfe,frame,1428,21,1645,262,,,,21
00080bff,frame,75,783,735,1072,,,,21
00080c00,body,1233,6,1565,495,,00080761,後藤芹香,21
00080c01,frame,353,388,740,580,,,,21
00080c02,face,470,236,541,294,,00080bd4,男性C,21
00080c03,body,265,600,544,765,,00080bd4,男性C,21
00080c04,text,619,394,649,426,トロきらい,,,21
00080c05,body,996,114,1124,249,,0008075d,Other,21
00080c06,body,913,61,989,251,,0008075d,Other,21
00080c07,body,353,169,472,363,,00080bd8,女性B,21
00080c08,body,413,202,552,367,,00080b91,男性B,21
