id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0008150d,body,345,769,437,887,000807eb,中村真実,,62
0008150e,text,1066,95,1097,176,,,あたしもっ,62
0008150f,face,196,622,251,663,00080798,南野,,62
00081510,text,315,77,387,183,,,やーよ！あんなおじさん！！,62
00081511,body,1210,595,1567,925,00080761,後藤芹香,,62
00081512,body,1342,991,1415,1077,000807e3,小沢さち子,,62
00081513,text,116,84,178,250,,,あたしはふつーの高校生のレンアイしたいの！,62
00081514,body,148,576,320,719,00080798,南野,,62
00081515,face,580,203,625,236,000807e3,小沢さち子,,62
00081516,body,989,218,1066,370,000807eb,中村真実,,62
00081517,face,677,433,745,468,00080761,後藤芹香,,62
00081518,text,367,538,416,619,,,カゼか？南野,62
00081519,text,1055,75,1250,370,,,お願いっ！！今年は手作りのものあげるっていっちゃったの芹香だけがたのみなのよ〜〜〜,62
0008151a,body,155,321,240,510,000807eb,中村真実,,62
0008151b,frame,97,63,394,514,,,,62
0008151c,text,153,837,196,981,,,えーっ,62
0008151d,frame,901,616,1142,1076,,,,62
0008151e,text,937,410,1069,573,,,わーったわかりましたてつだいますよ,62
0008151f,body,906,234,994,349,000807e3,小沢さち子,,62
00081520,face,441,472,480,503,000807e3,小沢さち子,,62
00081521,text,122,332,153,397,,,いいセンいってるのに,62
00081522,text,409,318,487,413,,,「Teen'sぐるめ」の南野さん！,62
00081523,body,390,546,515,666,00080bdd,男性D,,62
00081524,face,373,811,422,850,000807eb,中村真実,,62
00081525,body,612,359,751,513,00080761,後藤芹香,,62
00081526,body,1407,977,1484,1073,000807eb,中村真実,,62
00081527,face,1350,494,1403,570,000807e3,小沢さち子,,62
00081528,face,466,815,492,848,000807e3,小沢さち子,,62
00081529,frame,400,302,759,519,,,,62
0008152a,text,1210,621,1245,683,,,まったくう,62
0008152b,text,1501,945,1539,1034,,,かんたんでゴーカっ！,62
0008152c,face,1464,170,1507,214,000807eb,中村真実,,62
0008152d,frame,362,529,756,725,,,,62
0008152e,frame,1151,923,1562,1078,,,,62
0008152f,face,243,118,284,147,00080761,後藤芹香,,62
00081530,body,1035,388,1373,596,00080761,後藤芹香,,62
00081531,text,521,320,590,433,,,せりかにもさあいるじゃない,62
00081532,frame,333,741,753,889,,,,62
00081533,frame,256,846,690,965,,,,62
00081534,text,936,766,974,816,,,カンタンだよ,62
00081535,body,1260,128,1418,371,00080761,後藤芹香,,62
00081536,text,404,82,539,256,,,いーわよね２人ともあげる相手がいてさあたしなんかさ,62
00081537,body,620,161,772,286,000807eb,中村真実,,62
00081538,face,1365,1027,1399,1051,000807e3,小沢さち子,,62
00081539,frame,38,796,600,1166,,,,62
0008153a,text,633,325,671,419,,,つくってるばっかだもんね,62
0008153b,frame,402,68,756,292,,,,62
0008153c,body,1331,424,1502,595,000807e3,小沢さち子,,62
0008153d,frame,903,387,1562,597,,,,62
0008153e,text,1174,711,1253,864,,,で？かわいくて？,62
0008153f,body,190,78,341,331,00080761,後藤芹香,,62
00081540,face,1415,186,1467,220,000807e3,小沢さち子,,62
00081541,body,539,595,671,718,00080798,南野,,62
00081542,face,557,645,597,683,00080798,南野,,62
00081543,body,417,437,496,514,000807e3,小沢さち子,,62
00081544,face,1309,169,1357,216,00080761,後藤芹香,,62
00081545,face,1181,418,1278,487,00080761,後藤芹香,,62
00081546,face,1000,280,1045,314,000807eb,中村真実,,62
00081547,text,346,313,381,371,,,だってねエ・・・,62
00081548,face,657,200,701,239,000807eb,中村真実,,62
00081549,text,1522,400,1541,511,,,せりか〜〜〜,62
0008154a,body,440,773,540,886,000807e3,小沢さち子,,62
0008154b,body,519,740,751,886,00080761,後藤芹香,,62
0008154c,text,912,87,998,196,,,かわいくってかんたんでゴーカなやつ！,62
0008154d,body,497,439,598,511,000807eb,中村真実,,62
0008154e,body,506,172,655,285,000807e3,小沢さち子,,62
0008154f,body,267,302,369,512,000807e3,小沢さち子,,62
00081550,frame,1142,604,1564,925,,,,62
00081551,body,1388,142,1492,368,000807e3,小沢さち子,,62
00081552,face,1303,668,1513,828,00080761,後藤芹香,,62
00081553,text,707,86,722,135,,,やたっ,62
00081554,face,1266,1023,1306,1054,00080761,後藤芹香,,62
00081555,body,1227,988,1327,1075,00080761,後藤芹香,,62
00081556,text,975,626,1136,794,,,クッキーなんかどう？ココア生地のチョコクッキーとかいろいろ,62
00081557,text,432,753,447,813,,,どーしよお,62
00081558,body,1415,119,1559,366,000807eb,中村真実,,62
00081559,text,1159,934,1255,1047,,,ケーキはけっこう手間がかかるし・・・・・・,62
0008155a,face,601,758,711,843,00080761,後藤芹香,,62
0008155b,frame,1262,75,1562,372,,,,62
0008155c,face,1420,1017,1461,1050,000807eb,中村真実,,62
0008155d,face,445,580,489,609,00080bdd,男性D,,62
0008155e,face,526,465,570,500,000807eb,中村真実,,62
0008155f,text,962,941,1002,1036,,,それっ！！,62
00081560,frame,898,75,1245,372,,,,62
00081561,frame,92,531,354,720,,,,62
