epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run
1,0.96806,0.82767,1.1947,0.87909,0.84889,0.91279,0.66416,0.95773,0.65968,1.1825,0.00041653,0.00041653,0.00041653,train
2,0.91919,0.68822,1.1668,0.8824,0.867,0.92363,0.68494,0.90655,0.61644,1.1551,0.00078165,0.00078165,0.00078165,train
3,0.89679,0.65877,1.1514,0.89607,0.87221,0.93099,0.69603,0.8941,0.58269,1.1328,0.0010952,0.0010952,0.0010952,train
4,0.88045,0.62875,1.1389,0.90069,0.87965,0.9369,0.70862,0.86589,0.55506,1.1194,0.001018,0.001018,0.001018,train
5,0.86283,0.60609,1.128,0.89793,0.88823,0.94017,0.7161,0.84875,0.53715,1.105,0.00094062,0.00094062,0.00094062,train
6,0.84901,0.58834,1.1185,0.90376,0.89157,0.94336,0.72477,0.83611,0.52261,1.096,0.00086328,0.00086328,0.00086328,train
7,0.86894,0.57081,1.1349,0.90578,0.89144,0.94456,0.72474,0.83836,0.52506,1.0944,0.00078594,0.00078594,0.00078594,train
8,0.85574,0.55273,1.1247,0.90939,0.89487,0.94762,0.7317,0.82795,0.51423,1.0887,0.00070859,0.00070859,0.00070859,train
9,0.84472,0.5379,1.1181,0.90844,0.89849,0.94909,0.73537,0.81604,0.50185,1.0893,0.00063125,0.00063125,0.00063125,train
10,0.83276,0.52329,1.1074,0.90989,0.90399,0.95222,0.74197,0.80925,0.48842,1.0746,0.00055391,0.00055391,0.00055391,train
11,0.82208,0.51114,1.1027,0.91375,0.90609,0.95373,0.74561,0.80223,0.48143,1.0708,0.00047656,0.00047656,0.00047656,train
12,0.81217,0.49874,1.0923,0.91852,0.9056,0.95591,0.74835,0.79661,0.47179,1.0675,0.00039922,0.00039922,0.00039922,train
13,0.80215,0.48492,1.0865,0.91674,0.90747,0.95583,0.75199,0.79137,0.46461,1.0662,0.00032188,0.00032188,0.00032188,train
14,0.79149,0.47567,1.0803,0.91721,0.91096,0.95667,0.7545,0.78653,0.46128,1.0651,0.00024453,0.00024453,0.00024453,train
15,0.78227,0.46388,1.075,0.91828,0.91387,0.95807,0.75711,0.78327,0.45409,1.0592,0.00016719,0.00016719,0.00016719,train
16,0.77388,0.45424,1.0698,0.91752,0.91682,0.95922,0.7588,0.78322,0.44918,1.0591,8.9844e-05,8.9844e-05,8.9844e-05,train
17,0.69965,0.42306,0.96474,0.91603,0.90197,0.94581,0.72929,0.82042,0.45165,1.0047,0.00041634,0.00041634,0.00041634,train10
18,0.70111,0.42262,0.96515,0.92019,0.90662,0.94895,0.7342,0.82205,0.4459,1.0017,0.00041636,0.00041636,0.00041636,train11
19,0.69006,0.41435,0.95991,0.91348,0.90111,0.94326,0.72483,0.83266,0.45644,1.0147,0.00041634,0.00041634,0.00041634,train12
20,0.66951,0.39964,0.95098,0.91086,0.9007,0.94136,0.72391,0.83676,0.45808,1.018,0.00041634,0.00041634,0.00041634,train13
21,0.69326,0.41375,0.96124,0.91523,0.90595,0.94647,0.73181,0.82792,0.44932,1.0088,0.00041636,0.00041636,0.00041636,train14
22,0.76587,0.46677,0.99714,0.92187,0.90695,0.95204,0.74161,0.79462,0.4409,0.97853,0.0004159,0.0004159,0.0004159,train15
23,0.75606,0.46519,0.99133,0.92321,0.90769,0.95373,0.74197,0.80238,0.43796,0.97676,0.00041581,0.00041581,0.00041581,train16
24,0.75276,0.46533,0.98907,0.92095,0.90742,0.95252,0.74393,0.784,0.43465,0.9718,0.00041583,0.00041583,0.00041583,train17
25,0.73721,0.45629,0.98253,0.91946,0.90756,0.95291,0.74281,0.78801,0.43461,0.97422,0.00041583,0.00041583,0.00041583,train18
26,0.7546,0.46579,0.98954,0.92303,0.9074,0.95325,0.74318,0.78558,0.43484,0.97155,0.00041596,0.00041596,0.00041596,train19
27,0.84858,0.57199,1.0324,0.91081,0.88783,0.93973,0.71867,0.82703,0.48742,0.98968,0.00041634,0.00041634,0.00041634,train2
28,0.83172,0.55368,1.026,0.9152,0.891,0.94269,0.71605,0.83543,0.49612,0.99355,0.00078146,0.00078146,0.00078146,train2
