                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2156,                 1.4224,                 1.1954,                0.82958,                0.75614,                0.82219,                0.56161,                 1.0528,                0.87829,                 1.0888,             0.00041593,             0.00041593,             0.00041593
                      2,                 1.0286,                0.83131,                 1.0948,                0.82749,                0.79072,                0.85135,                 0.5905,                 0.9927,                0.75903,                 1.0531,             0.00081611,             0.00081611,             0.00081611
                      3,                 1.0018,                0.78053,                 1.0816,                0.85767,                0.78132,                0.85429,                  0.593,                0.98499,                0.74217,                 1.0463,              0.0011998,              0.0011998,              0.0011998
                      4,                0.98751,                0.74687,                 1.0744,                0.86553,                0.80094,                0.86857,                0.60872,                0.97123,                0.69741,                 1.0389,              0.0011757,              0.0011757,              0.0011757
                      5,                0.96674,                0.72202,                 1.0652,                0.85801,                0.81362,                 0.8768,                0.62178,                0.94284,                0.65463,                  1.021,               0.001151,               0.001151,               0.001151
                      6,                0.95652,                0.70512,                 1.0601,                0.87306,                0.80268,                0.87512,                0.62472,                0.93394,                0.65233,                 1.0184,              0.0011263,              0.0011263,              0.0011263
                      7,                0.94514,                 0.6895,                 1.0551,                0.87456,                0.80794,                0.87764,                0.62803,                0.93326,                0.63068,                 1.0171,              0.0011015,              0.0011015,              0.0011015
                      8,                0.93692,                 0.6761,                 1.0503,                  0.875,                0.81493,                0.88071,                0.62815,                0.94284,                0.63477,                   1.02,              0.0010768,              0.0010768,              0.0010768
                      9,                0.93234,                0.66736,                 1.0474,                0.87156,                0.81485,                0.88289,                0.63739,                0.91562,                0.61517,                 1.0098,               0.001052,               0.001052,               0.001052
                     10,                0.92731,                0.65974,                 1.0449,                0.88177,                0.81677,                0.88623,                0.63668,                0.91776,                0.60883,                 1.0076,              0.0010273,              0.0010273,              0.0010273
