                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88132,                0.58466,                  1.121,                0.89065,                0.86435,                0.92589,                0.68269,                0.93125,                0.62366,                 1.2053,             0.00041639,             0.00041639,             0.00041639
                      2,                0.88348,                0.58701,                 1.1171,                0.89538,                0.86279,                0.92539,                0.68247,                0.93625,                0.63098,                 1.2055,             0.00075058,             0.00075058,             0.00075058
                      3,                 0.8829,                0.58533,                  1.114,                0.89651,                0.87189,                0.93167,                 0.6955,                0.90225,                0.58825,                 1.1862,              0.0010023,              0.0010023,              0.0010023
                      4,                  0.876,                0.57864,                 1.1091,                0.89712,                0.88061,                0.93554,                0.70027,                0.89367,                0.57952,                 1.1704,             0.00087875,             0.00087875,             0.00087875
                      5,                0.86704,                0.56633,                 1.1023,                0.89787,                0.88133,                0.93696,                0.70667,                0.87754,                0.57022,                 1.1673,               0.000755,               0.000755,               0.000755
                      6,                0.85691,                0.55516,                 1.0951,                0.90278,                 0.8823,                 0.9398,                0.70973,                 0.8739,                 0.5561,                 1.1614,             0.00063125,             0.00063125,             0.00063125
                      7,                0.84759,                0.54452,                 1.0899,                0.90541,                 0.8869,                 0.9411,                  0.714,                0.86541,                0.54759,                 1.1538,              0.0005075,              0.0005075,              0.0005075
                      8,                0.84016,                0.53385,                 1.0858,                0.90792,                0.89072,                0.94438,                0.71979,                0.85661,                0.53584,                 1.1441,             0.00038375,             0.00038375,             0.00038375
                      9,                0.83176,                0.52303,                 1.0799,                0.90934,                0.89374,                0.94643,                0.72472,                0.84546,                 0.5244,                 1.1366,                0.00026,                0.00026,                0.00026
                     10,                0.82326,                0.51401,                 1.0739,                0.91323,                0.89543,                0.94827,                0.72813,                0.83972,                0.51496,                 1.1313,             0.00013625,             0.00013625,             0.00013625
