                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81829,                0.53499,                 1.0664,                0.90729,                0.89495,                0.94487,                0.72262,                0.84714,                0.51827,                 1.1336,             0.00041627,             0.00041627,             0.00041627
                      2,                0.82917,                0.54699,                  1.073,                0.90876,                0.89475,                0.94565,                  0.721,                0.85486,                0.53012,                 1.1352,             0.00077797,             0.00077797,             0.00077797
                      3,                 0.8348,                0.55464,                 1.0754,                0.90413,                0.88714,                0.94248,                0.71731,                 0.8576,                0.53778,                 1.1351,              0.0010847,              0.0010847,              0.0010847
                      4,                0.83491,                0.55436,                 1.0751,                0.90838,                0.89447,                0.94521,                0.72306,                0.85094,                0.52152,                 1.1334,              0.0010025,              0.0010025,              0.0010025
                      5,                0.82941,                0.54916,                 1.0721,                0.91068,                0.89197,                0.94621,                0.72406,                0.85043,                0.52283,                 1.1214,                0.00092,                0.00092,                0.00092
                      6,                 0.8424,                0.53241,                 1.0859,                0.90986,                0.89215,                0.94663,                0.72542,                0.84642,                0.52526,                 1.1292,              0.0008375,              0.0008375,              0.0008375
                      7,                 0.8374,                0.52533,                 1.0825,                0.91234,                0.89762,                0.94888,                0.73164,                0.83103,                0.51058,                  1.117,               0.000755,               0.000755,               0.000755
                      8,                0.83267,                0.52106,                 1.0816,                0.91566,                0.89434,                0.94924,                0.73102,                0.83404,                0.51169,                 1.1217,              0.0006725,              0.0006725,              0.0006725
                      9,                0.82544,                0.51532,                 1.0754,                0.91173,                  0.902,                0.95104,                 0.7325,                0.83552,                0.49832,                  1.116,                0.00059,                0.00059,                0.00059
                     10,                0.82067,                0.50708,                 1.0723,                0.91645,                0.90227,                0.95265,                0.73836,                0.82484,                0.49514,                  1.112,              0.0005075,              0.0005075,              0.0005075
                     11,                0.81554,                0.50116,                 1.0704,                 0.9179,                0.90402,                0.95317,                0.73934,                0.82294,                0.48921,                 1.1075,               0.000425,               0.000425,               0.000425
                     12,                0.80854,                0.49451,                 1.0654,                0.92061,                0.90531,                0.95507,                0.74256,                0.81428,                0.48195,                 1.1038,              0.0003425,              0.0003425,              0.0003425
                     13,                0.80385,                0.48882,                 1.0632,                0.92045,                0.90617,                0.95514,                0.74554,                0.81023,                0.47646,                 1.0989,                0.00026,                0.00026,                0.00026
                     14,                0.79888,                0.48347,                 1.0583,                0.92253,                0.90758,                 0.9566,                0.74779,                0.80696,                0.47162,                 1.0959,              0.0001775,              0.0001775,              0.0001775
                     15,                0.79482,                0.47734,                  1.055,                0.92211,                 0.9099,                0.95729,                0.74932,                0.80412,                0.46777,                 1.0932,                9.5e-05,                9.5e-05,                9.5e-05
