fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,label_smoothing,hsv_v,hsv_h,hsv_s,degrees,translate,scale,shear,perspective,flipud,fliplr
0.51126,0.01,0.01,0.937,0.0005,3.0,0.8,2,0.5,0.0,0.4,0.015,0.7,0.0,0.1,0.5,0.0,0.0,0.0,0.5
0.50997,0.01056,0.01044,0.937,0.00045,3.0,0.88928,1.97537,0.49444,0.0,0.40687,0.01378,0.7,0.0,0.09542,0.50651,0.0,0.0,0.0,0.5
0.5052,0.01,0.01,0.92971,0.0005,2.59729,0.93434,2,0.62714,0.0,0.41091,0.01413,0.76551,0.0,0.1,0.67698,0.0,0.0,0.0,0.51386
0.50935,0.01056,0.01044,0.78271,0.00037,3.0,0.89203,1.81568,0.64994,0.0,0.38684,0.01294,0.7,0.0,0.13539,0.50651,0.0,0.0,0.0,0.49495
0.51471,0.01052,0.01,0.92319,0.00041,2.64303,0.71479,1.80364,0.53117,0.0,0.3444,0.01603,0.57635,0.0,0.1,0.48024,0.0,0.0,0.0,0.48569
0.51704,0.01159,0.01044,0.71398,0.00051,2.0556,0.95,1.67441,0.42588,0.0,0.46277,0.01481,0.63494,0.0,0.0883,0.40289,0.0,0.0,0.0,0.57065
0.51504,0.01014,0.01,0.90877,0.00041,2.62324,0.68695,1.77928,0.53185,0.0,0.32626,0.01648,0.57528,0.0,0.1,0.47475,0.0,0.0,0.0,0.49649
0.51398,0.01167,0.01189,0.92319,0.00042,2.51765,0.71479,1.81214,0.51135,0.0,0.3444,0.01357,0.58333,0.0,0.10273,0.50652,0.0,0.0,0.0,0.49934
0.51781,0.01159,0.01064,0.72061,0.00052,2.08354,0.95,1.69357,0.42118,0.0,0.45737,0.01502,0.63355,0.0,0.08788,0.40289,0.0,0.0,0.0,0.57065
0.51807,0.01221,0.01,0.71398,0.00051,2.0556,0.91323,1.83533,0.42588,0.0,0.42669,0.01458,0.63969,0.0,0.0883,0.39996,0.0,0.0,0.0,0.57065
0.51327,0.01039,0.01064,0.66509,0.00052,2.05235,0.95,1.54928,0.35542,0.0,0.45405,0.01152,0.38817,0.0,0.08788,0.50789,0.0,0.0,0.0,0.45354
0.5191,0.0124,0.01004,0.71097,0.00051,2.04475,0.92563,1.8128,0.42588,0.0,0.42669,0.0146,0.65684,0.0,0.08906,0.40115,0.0,0.0,0.0,0.56645
0.51904,0.0124,0.01,0.6,0.00063,1.95581,0.81786,1.7922,0.36868,0.0,0.40831,0.01583,0.65684,0.0,0.09324,0.33609,0.0,0.0,0.0,0.59485
0.51778,0.0124,0.01,0.71097,0.00057,1.98325,0.95,1.7344,0.42588,0.0,0.38726,0.01382,0.65684,0.0,0.10251,0.36261,0.0,0.0,0.0,0.56343
0.5195,0.01253,0.01,0.6,0.00065,1.89221,0.81826,1.78414,0.37185,0.0,0.39989,0.01605,0.65044,0.0,0.09539,0.32732,0.0,0.0,0.0,0.59665
